年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2020 赛季,6,47.5,41.3,85.3,9.3,32.3,119.5,41.7,22.8,5.2,5.5,11.8,23.2
2019 赛季,5,42.6,37.9,79.2,9.8,33.0,106.6,42.8,17.8,7.4,3.6,16.0,25.0
2018 赛季,16,43.6,36.0,76.6,11.4,33.8,109.7,45.2,19.8,6.9,5.1,12.9,22.8
2017 赛季,4,45.3,33.3,77.8,11.3,32.3,105.5,43.5,19.0,8.3,3.8,14.5,20.5
2016 赛季,4,39.7,32.4,80.4,10.0,34.0,101.5,44.0,15.8,7.3,4.8,15.3,21.8
2015 赛季,11,41.6,38.1,74.0,12.9,34.7,105.0,47.6,21.5,6.2,3.9,13.1,23.5
2014 赛季,5,40.0,35.1,82.4,10.0,34.2,93.8,44.2,16.6,3.4,5.2,11.6,20.6
2013 赛季,11,43.7,34.7,79.7,11.7,32.5,104.3,44.2,17.5,5.9,6.0,13.8,22.5
2010 赛季,6,45.3,0.0,78.3,9.2,28.5,88.2,37.7,17.0,5.7,,11.5,
2009 赛季,6,43.0,0.0,73.8,10.8,26.5,93.0,37.3,19.5,6.0,,11.0,
2008 赛季,6,44.7,0.0,76.3,9.8,26.5,87.2,36.3,14.7,6.0,,11.3,
2002 赛季,7,46.1,0.0,75.2,15.0,29.7,101.3,44.7,23.3,6.3,,13.7,
2001 赛季,3,38.2,0.0,79.5,12.0,32.0,91.3,44.0,20.7,8.3,,14.7,
2000 赛季,3,41.9,0.0,75.6,9.7,28.0,89.0,37.7,16.3,6.3,,15.0,
1999 赛季,16,44.4,0.0,78.5,9.8,28.4,92.5,38.2,19.3,7.4,,12.7,
1998 赛季,13,42.4,0.0,75.2,9.8,28.9,86.2,38.8,18.2,7.7,,14.1,
1997 赛季,4,45.3,0.0,77.2,14.0,27.8,99.8,41.8,24.0,7.0,,16.3,
1996 赛季,4,44.9,0.0,72.5,11.8,25.3,89.8,37.0,19.8,5.5,,15.5,
