年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2020 赛季,23,46.2,32.1,71.8,12.8,36.1,110.3,49.0,22.8,7.8,4.2,12.7,18.0
2019 赛季,10,46.0,35.8,72.4,9.4,37.3,111.1,46.7,24.3,7.2,4.2,14.9,21.7
2018 赛季,15,45.1,33.6,72.9,10.1,41.8,112.8,51.9,25.0,6.7,6.4,13.0,21.8
2017 赛季,7,50.0,37.2,70.5,5.6,33.0,101.9,38.6,22.0,6.6,6.7,13.1,22.9
2016 赛季,6,44.6,41.5,69.6,8.2,29.8,93.2,38.0,21.2,8.2,5.0,13.3,21.3
2014 赛季,6,38.8,30.3,70.4,12.2,31.5,88.5,43.7,20.3,10.8,6.7,13.2,21.2
2012 赛季,4,43.3,26.1,63.0,8.8,26.0,85.3,34.8,19.8,10.0,2.5,16.3,19.8
2009 赛季,7,42.4,0.0,80.6,11.1,28.0,90.0,39.1,16.3,6.3,,12.4,
2005 赛季,5,47.1,0.0,78.5,10.6,26.4,97.6,37.0,21.0,6.0,,13.2,
2003 赛季,5,41.6,0.0,74.1,11.2,28.0,85.6,39.2,20.6,8.2,,16.4,
2002 赛季,6,45.9,0.0,74.5,8.3,27.0,97.8,35.3,20.2,7.2,,13.3,
2000 赛季,18,43.4,0.0,80.0,12.8,31.9,95.7,44.8,21.9,5.9,,13.0,
1999 赛季,5,45.8,0.0,76.4,11.4,31.4,96.0,42.8,20.6,6.6,,11.8,
1998 赛季,3,45.3,0.0,77.3,11.0,27.0,95.3,38.0,20.0,8.3,,16.3,
