年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2016 赛季,6,44.0,29.8,84.9,12.5,34.2,96.5,46.7,20.0,7.2,5.2,15.3,18.3
2014 赛季,12,41.9,37.3,77.5,11.7,33.8,96.0,45.4,22.2,7.2,6.6,14.0,18.8
2013 赛季,5,42.2,33.3,75.4,12.2,29.6,90.0,41.8,20.2,5.0,4.4,13.2,22.0
2012 赛季,12,43.8,31.9,72.0,11.8,29.0,91.9,40.8,19.5,6.4,4.6,14.3,22.4
2011 赛季,6,42.1,34.2,64.9,11.5,35.3,84.3,46.8,22.5,5.2,6.7,14.3,20.5
2010 赛季,16,42.2,0.0,78.4,13.4,30.2,92.5,43.6,20.1,7.3,,13.6,
2009 赛季,5,43.9,0.0,79.8,10.8,30.2,97.0,41.0,19.0,5.8,,10.0,
2008 赛季,7,44.1,0.0,80.9,10.4,35.1,108.3,45.6,19.9,6.7,,16.1,
2006 赛季,10,43.0,0.0,72.9,11.6,30.3,92.4,41.9,20.6,7.0,,15.3,
2005 赛季,6,44.5,0.0,74.2,8.8,30.5,98.3,39.3,18.3,5.7,,15.8,
2004 赛季,6,41.9,0.0,72.2,14.2,30.3,102.5,44.5,21.7,6.3,,15.2,
1997 赛季,21,44.5,0.0,73.4,14.0,27.0,93.1,41.0,20.5,9.0,,12.6,
1996 赛季,19,43.2,0.0,73.5,14.9,28.6,92.5,43.5,20.7,8.5,,12.4,
