年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2017 赛季,22,45.0,33.1,75.2,9.8,31.6,101.1,41.4,19.2,6.0,4.4,12.7,19.5
2016 赛季,18,49.3,42.0,76.7,9.2,32.9,116.2,42.2,22.1,7.4,4.7,13.1,18.8
2015 赛季,21,46.9,40.6,72.5,10.7,32.6,104.8,43.3,21.2,7.8,4.2,12.5,19.6
2014 赛季,20,42.0,34.0,73.8,12.3,34.9,99.0,47.1,18.0,6.3,6.4,13.0,20.9
2009 赛季,11,46.9,0.0,74.1,8.6,31.1,100.2,39.7,21.1,6.1,,14.9,
2008 赛季,14,46.3,0.0,74.2,10.1,30.2,97.6,40.3,19.1,6.6,,12.4,
2007 赛季,13,42.0,0.0,72.1,11.8,29.2,89.9,40.9,20.2,6.0,,13.9,
2006 赛季,20,42.1,0.0,73.7,11.9,31.4,88.8,43.3,17.5,7.2,,13.0,
2005 赛季,13,43.7,0.0,76.4,12.5,29.8,90.4,42.2,16.2,6.5,,14.5,
1997 赛季,4,43.5,0.0,72.3,10.0,24.5,80.8,34.5,18.5,8.5,,18.3,
