年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2020 赛季,5,43.5,35.0,82.5,12.6,28.8,112.2,41.4,21.0,6.4,7.0,13.0,21.0
2019 赛季,17,45.4,34.1,81.6,8.8,36.5,109.4,45.2,22.6,6.7,4.8,13.9,22.3
2018 赛季,9,42.4,34.3,80.3,7.4,40.3,102.1,47.8,21.4,5.9,3.8,14.8,20.8
2017 赛季,19,43.7,34.3,76.7,8.8,32.8,101.4,41.7,21.2,6.8,4.1,11.6,20.4
2016 赛季,18,45.7,36.9,77.3,9.4,28.5,105.2,37.9,26.9,7.7,4.1,13.4,20.8
2015 赛季,6,38.4,27.5,78.6,10.7,35.3,93.8,46.0,21.0,6.3,6.5,14.7,22.0
2014 赛季,4,42.0,25.6,77.5,10.0,30.8,94.8,40.8,20.0,5.3,3.8,13.5,26.8
2012 赛季,6,41.3,33.1,86.0,5.2,33.8,82.3,39.0,16.8,5.5,3.0,17.3,18.8
2011 赛季,20,43.8,28.5,79.9,8.0,31.9,89.5,39.9,19.8,8.2,4.9,13.0,21.7
2010 赛季,9,46.5,0.0,77.9,8.9,30.1,94.7,39.0,21.0,7.3,,15.7,
2009 赛季,24,45.3,0.0,75.5,8.8,30.3,93.9,39.1,21.1,8.0,,13.9,
2008 赛季,14,44.5,0.0,79.1,10.9,32.4,102.1,43.2,22.9,7.8,,13.6,
2007 赛季,26,44.7,0.0,78.3,11.1,28.9,94.0,40.0,21.5,7.6,,12.8,
2004 赛季,7,44.2,0.0,75.5,10.3,29.1,87.7,39.4,16.6,8.4,,15.3,
2003 赛季,4,40.8,0.0,80.6,9.3,31.8,84.5,41.0,17.5,6.5,,19.8,
2002 赛季,10,42.2,0.0,80.0,8.8,31.9,94.6,40.7,20.7,8.6,,14.8,
2001 赛季,16,41.8,0.0,77.4,10.6,32.7,91.3,43.3,18.8,8.9,,14.1,
