年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2020 赛季,19,47.7,38.1,82.3,8.8,32.4,111.6,41.2,20.8,6.8,4.3,10.7,19.5
2019 赛季,13,47.4,36.8,79.8,9.5,34.5,114.0,44.0,21.2,7.5,3.7,13.0,22.9
2018 赛季,6,44.7,36.3,81.5,10.0,30.2,114.7,40.2,25.3,8.0,3.3,15.0,25.0
2016 赛季,7,47.3,34.8,69.6,7.7,30.0,97.7,37.7,18.4,6.3,2.4,12.1,20.3
2015 赛季,6,43.7,29.1,62.5,11.3,34.8,98.3,46.2,18.2,8.5,4.7,9.7,20.5
2014 赛季,14,46.6,32.9,66.7,9.6,35.0,107.8,44.6,22.5,8.6,5.9,13.1,24.8
2013 赛季,13,46.1,35.5,73.0,11.4,28.4,108.8,39.8,23.8,9.4,4.4,12.6,24.3
2012 赛季,6,46.7,30.4,78.2,8.8,28.3,94.7,37.2,18.0,5.2,5.7,13.3,27.8
2011 赛季,11,45.8,37.8,66.7,8.7,28.1,90.9,36.8,17.3,9.5,6.5,14.7,24.1
2005 赛季,12,49.1,0.0,81.6,11.0,34.6,105.7,45.6,20.8,5.0,,15.5,
1996 赛季,3,43.6,0.0,73.3,10.3,23.0,92.3,33.3,16.3,6.3,,12.0,
