年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2019 赛季,12,449,1029,203,561,191,242,80,386,1292,466,256,109,42,161,266
2018 赛季,11,409,922,172,470,204,267,106,366,1194,472,201,94,56,174,238
2017 赛季,17,632,1450,228,676,292,378,149,582,1784,731,320,138,93,205,325
2016 赛季,11,410,935,141,423,224,284,109,363,1185,472,215,85,51,154,230
2015 赛季,5,165,428,38,142,88,137,72,165,456,237,90,42,21,95,128
2014 赛季,17,635,1417,161,468,408,624,185,592,1839,777,372,142,93,263,398
2013 赛季,6,245,550,49,154,133,179,100,195,672,295,110,36,30,83,156
2012 赛季,6,206,486,70,202,118,166,65,196,600,261,108,35,33,95,139
2008 赛季,13,442,989,,,219,285,126,401,1189,527,221,80,41,185,261
2007 赛季,6,193,472,,,107,157,78,174,528,252,93,41,33,65,127
2006 赛季,7,208,507,,,145,184,69,222,611,291,127,49,29,104,135
2004 赛季,7,245,526,,,143,181,75,189,683,264,126,51,41,100,173
2003 赛季,5,159,372,,,82,114,48,174,423,222,86,26,18,84,114
1998 赛季,4,135,325,,,87,114,53,130,388,183,82,30,18,53,104
1997 赛季,5,145,377,,,109,149,56,156,423,212,81,36,25,65,119
1996 赛季,16,565,1233,,,349,455,196,468,1621,664,370,123,70,243,350
