年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2020 赛季,18,44.9,34.3,79.8,9.1,33.3,106.3,42.4,20.2,6.7,4.4,12.4,21.2
2016 赛季,6,44.4,30.5,76.4,11.3,33.0,105.5,44.3,22.3,6.0,3.3,16.0,21.3
2015 赛季,10,43.2,33.3,79.5,8.9,35.4,100.1,44.3,22.6,7.5,7.6,14.4,20.2
2014 赛季,16,43.1,31.7,78.1,9.8,33.9,98.0,43.7,23.8,8.5,4.9,12.7,19.7
2013 赛季,7,38.5,34.3,82.8,9.1,30.1,92.4,39.3,16.9,6.6,4.6,13.6,20.9
2012 赛季,6,42.2,33.0,68.2,8.3,30.0,89.3,38.3,19.2,7.3,3.8,12.2,24.2
2011 赛季,6,40.1,31.0,78.4,10.0,32.5,82.2,42.5,17.5,5.5,3.3,15.3,19.8
2010 赛季,12,43.4,0.0,72.6,9.0,28.2,86.3,37.2,18.1,6.3,,12.4,
2009 赛季,11,42.5,0.0,78.5,13.0,26.9,89.5,39.9,16.4,6.4,,11.7,
2008 赛季,11,40.9,0.0,74.4,10.7,24.2,84.0,34.9,16.9,6.9,,12.1,
2007 赛季,7,41.1,0.0,78.2,11.6,26.7,87.1,38.3,17.4,4.3,,15.9,
1998 赛季,9,38.3,0.0,76.9,12.0,26.9,79.7,38.9,13.9,8.1,,14.3,
1997 赛季,4,44.9,0.0,68.5,11.0,29.0,87.5,40.0,17.0,7.8,,12.8,
1996 赛季,10,43.6,0.0,77.8,11.0,29.0,89.0,40.0,15.4,4.5,,16.1,
