年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2020 赛季,4,39.5,33.6,76.5,9.0,33.3,98.0,42.3,21.5,7.3,3.5,14.0,20.5
2019 赛季,21,46.0,35.9,82.5,7.8,33.6,110.0,41.3,24.9,6.9,3.9,13.2,19.9
2017 赛季,5,44.2,39.1,67.8,9.6,31.4,103.4,41.0,23.8,8.8,6.4,16.0,29.2
2015 赛季,14,45.8,35.8,76.5,9.1,35.1,96.9,44.2,16.4,5.4,5.9,13.1,21.2
2013 赛季,20,49.1,39.6,78.0,6.0,28.1,97.3,34.0,18.3,7.4,3.9,12.2,20.7
2012 赛季,23,46.8,38.1,76.6,9.7,28.4,97.1,38.1,20.6,8.3,5.4,13.1,22.2
2011 赛季,23,46.0,34.7,74.4,10.2,30.3,97.3,40.4,17.5,7.3,5.0,13.0,20.6
2010 赛季,21,44.5,0.0,77.7,10.1,30.9,92.8,41.1,16.5,7.3,,13.9,
2009 赛季,5,43.5,0.0,73.1,9.4,28.2,87.6,37.6,17.6,7.0,,17.8,
2008 赛季,7,45.0,0.0,81.6,8.9,29.9,88.1,38.7,15.0,6.1,,13.4,
2006 赛季,4,44.5,0.0,61.5,8.0,28.3,88.8,36.3,17.8,6.3,,14.8,
2005 赛季,23,48.1,0.0,65.5,9.5,32.5,96.3,42.0,17.5,7.0,,15.5,
2004 赛季,15,49.2,0.0,66.8,8.3,33.3,98.0,41.6,18.9,5.5,,15.3,
2003 赛季,13,40.8,0.0,75.4,11.4,30.5,84.1,41.8,16.3,7.5,,14.2,
2000 赛季,3,41.0,0.0,70.7,7.3,27.7,78.3,35.0,16.7,5.0,,18.7,
1999 赛季,10,41.9,0.0,69.0,10.5,32.9,83.2,43.4,19.1,7.2,,13.9,
1998 赛季,5,40.0,0.0,70.4,8.2,27.4,79.0,35.6,16.4,7.2,,12.6,
1997 赛季,5,43.1,0.0,68.2,8.2,28.6,87.4,36.8,16.4,6.8,,13.6,
1996 赛季,17,40.9,0.0,69.2,11.1,30.2,85.9,41.3,17.2,6.7,,16.2,
