年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2020 赛季,11,47.2,41.3,80.1,9.4,33.0,116.9,42.4,19.6,5.2,4.1,13.5,21.6
2019 赛季,7,48.7,42.1,77.3,9.3,31.9,113.4,41.1,21.4,6.1,3.1,12.0,19.0
2018 赛季,5,40.0,26.3,75.0,11.8,35.4,97.8,47.2,23.0,9.2,5.4,15.2,21.8
2017 赛季,11,45.5,35.9,68.7,9.4,35.6,102.4,45.0,20.3,7.5,5.0,15.5,20.5
2016 赛季,11,45.5,36.5,73.2,6.7,32.4,97.8,39.1,19.7,7.4,3.2,12.1,21.1
2011 赛季,4,38.2,20.0,70.5,16.0,32.5,86.3,48.5,16.8,6.5,6.8,13.5,20.3
2009 赛季,10,47.9,0.0,72.8,10.9,28.7,107.1,39.6,23.8,5.9,,13.2,
2008 赛季,5,43.2,0.0,74.2,13.2,29.4,97.4,42.6,25.4,9.8,,14.6,
2007 赛季,12,44.5,0.0,75.0,14.5,29.8,98.9,44.3,21.4,6.5,,12.9,
2006 赛季,17,45.9,0.0,74.9,13.0,31.2,97.9,44.2,22.2,7.4,,16.0,
2002 赛季,5,43.4,0.0,78.7,14.0,25.2,93.0,39.2,21.0,7.2,,16.4,
2001 赛季,4,41.5,0.0,68.5,15.3,28.0,88.0,43.3,23.0,9.0,,16.5,
2000 赛季,5,42.4,0.0,77.5,12.6,29.4,89.6,42.0,23.2,5.2,,12.2,
1999 赛季,10,44.4,0.0,73.8,10.3,30.0,88.3,40.3,23.6,6.9,,14.9,
1998 赛季,11,43.2,0.0,76.2,11.2,31.5,89.2,42.6,22.0,7.7,,15.5,
1997 赛季,20,45.5,0.0,74.5,9.7,30.1,89.0,39.8,22.3,6.5,,14.4,
1996 赛季,20,45.2,0.0,78.5,11.4,30.4,96.1,41.8,21.8,7.4,,13.3,
