年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2020 赛季,5,39.8,34.2,81.7,11.8,34.6,97.0,46.4,18.6,5.8,2.8,12.2,19.8
2012 赛季,12,41.0,34.3,78.2,10.7,28.8,88.6,39.5,15.1,8.8,4.3,11.6,23.8
2011 赛季,5,41.7,27.5,76.1,12.4,28.0,82.8,40.4,12.6,6.0,2.2,18.4,24.2
2010 赛季,4,38.6,0.0,74.7,14.5,26.0,90.8,40.5,16.8,6.5,,15.3,
2003 赛季,4,38.4,0.0,72.3,12.3,26.3,84.0,38.5,19.5,9.3,,16.3,
2000 赛季,5,46.8,0.0,77.8,7.8,28.6,89.0,36.4,15.6,6.2,,14.6,
1999 赛季,16,43.1,0.0,76.4,8.1,30.4,84.4,38.4,14.6,6.5,,11.8,
1998 赛季,20,42.9,0.0,75.7,10.2,29.1,85.0,39.3,15.0,7.6,,13.4,
1997 赛季,10,43.6,0.0,76.5,10.5,29.2,88.6,39.7,18.8,8.6,,16.1,
1996 赛季,10,46.7,0.0,77.0,9.7,29.8,91.2,39.5,21.1,8.6,,15.7,
