年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2020 赛季,6,41.4,29.9,77.6,10.5,32.7,97.5,43.2,19.3,6.7,4.0,13.8,20.5
2019 赛季,21,48.9,35.4,75.8,10.6,33.5,112.8,44.1,25.6,8.1,5.3,15.4,22.7
2012 赛季,4,44.2,27.0,60.8,8.5,31.5,85.3,40.0,18.5,5.8,5.3,16.5,17.5
2011 赛季,12,42.3,30.4,77.8,14.2,30.7,94.0,44.8,18.8,5.8,7.8,12.5,19.7
2010 赛季,10,44.6,0.0,77.6,12.6,28.3,93.2,40.9,18.9,6.9,,12.5,
2009 赛季,23,46.0,0.0,75.4,12.8,30.1,101.1,42.9,19.7,6.7,,12.5,
2008 赛季,23,46.5,0.0,74.7,11.1,30.9,102.4,42.0,19.4,7.9,,13.0,
2007 赛季,21,46.8,0.0,75.3,8.8,30.8,102.4,39.6,20.8,7.2,,13.3,
2006 赛季,5,44.2,0.0,72.2,14.2,29.2,98.0,43.4,14.4,5.8,,15.2,
2005 赛季,7,45.4,0.0,76.4,11.0,31.6,100.6,42.6,17.1,6.4,,15.0,
2003 赛季,22,44.4,0.0,61.2,10.2,30.0,88.1,40.2,22.6,7.3,,12.6,
2002 赛季,12,44.8,0.0,70.9,12.3,30.9,100.3,43.3,20.9,7.0,,13.8,
2001 赛季,19,44.4,0.0,72.1,12.3,33.2,97.8,45.4,19.6,6.8,,13.7,
2000 赛季,16,46.8,0.0,67.6,14.3,33.9,103.4,48.2,22.8,9.2,,14.0,
1999 赛季,23,46.5,0.0,62.3,13.2,30.1,99.8,43.3,21.8,6.6,,12.2,
1998 赛季,8,44.3,0.0,64.1,12.1,28.3,94.0,40.4,19.5,6.6,,14.0,
1997 赛季,13,47.4,0.0,65.0,13.4,26.7,100.2,40.1,22.7,7.4,,12.9,
1996 赛季,9,44.7,0.0,74.0,11.2,27.7,95.2,38.9,20.6,6.8,,13.3,
