年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2019 赛季,5,42.0,37.7,83.8,6.6,36.4,107.0,43.0,23.8,6.8,3.2,14.6,21.0
2018 赛季,5,38.8,29.9,77.5,9.6,33.8,92.0,43.4,19.0,6.6,4.0,15.6,18.8
2011 赛季,5,39.8,34.1,70.5,9.8,28.6,83.8,38.4,17.2,6.0,4.4,14.0,19.0
2010 赛季,6,40.9,0.0,73.7,11.8,30.5,88.7,42.3,14.5,6.5,,12.8,
2009 赛季,14,46.3,0.0,70.1,9.3,31.1,96.6,40.4,16.9,6.4,,13.7,
2008 赛季,24,45.7,0.0,72.2,8.3,30.0,97.0,38.4,18.9,6.8,,13.2,
2007 赛季,10,46.9,0.0,71.2,11.7,31.2,97.1,42.9,17.4,4.8,,14.5,
2006 赛季,4,47.8,0.0,57.9,11.3,29.0,88.0,40.3,18.0,4.3,,14.8,
2002 赛季,7,42.4,0.0,78.1,9.9,28.3,87.6,38.1,16.0,5.3,,15.3,
2001 赛季,4,42.4,0.0,74.2,9.0,30.5,93.8,39.5,19.5,5.5,,12.0,
2000 赛季,4,43.5,0.0,68.4,13.5,30.3,102.8,43.8,22.0,8.0,,11.3,
1998 赛季,4,37.6,0.0,74.4,14.5,25.0,86.3,39.5,19.8,9.0,,19.0,
1996 赛季,5,40.8,0.0,74.6,9.6,28.0,84.2,37.6,13.2,6.4,,12.4,
