年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2020 赛季,7,45.5,38.8,70.7,10.3,30.3,106.0,40.6,20.7,5.6,2.1,11.0,20.3
2019 赛季,6,47.3,36.0,72.3,7.7,35.5,117.0,43.2,21.5,6.5,3.7,12.7,22.5
2015 赛季,5,43.6,29.0,69.4,9.2,25.8,93.8,35.0,20.6,6.0,2.4,11.8,24.0
2014 赛季,5,45.2,31.1,76.2,13.6,33.8,110.0,47.4,21.2,7.0,4.6,14.2,27.2
2013 赛季,7,45.1,37.6,76.5,11.7,29.0,101.1,40.7,19.1,6.6,4.1,11.4,20.3
2011 赛季,4,40.4,37.2,83.2,10.5,30.0,93.3,40.5,15.5,8.0,3.5,14.5,20.8
2010 赛季,21,46.1,0.0,80.9,9.7,28.7,98.2,38.4,20.1,7.1,,12.9,
2009 赛季,6,42.9,0.0,79.3,12.0,31.8,92.8,43.8,18.5,7.5,,13.0,
2008 赛季,10,47.0,0.0,81.3,9.2,31.5,101.6,40.7,18.1,6.5,,13.0,
2007 赛季,5,40.1,0.0,78.7,14.4,30.8,94.0,45.2,19.4,4.0,,11.6,
2006 赛季,6,42.3,0.0,77.2,14.0,30.3,98.5,44.3,17.8,8.3,,16.3,
2005 赛季,23,45.1,0.0,80.9,12.2,30.5,99.7,42.7,15.3,6.6,,12.8,
2004 赛季,13,45.2,0.0,78.6,14.4,29.1,105.2,43.5,17.5,7.2,,13.2,
2003 赛季,5,39.6,0.0,77.1,20.4,31.8,99.6,52.2,20.6,9.2,,13.6,
2002 赛季,20,45.0,0.0,82.9,11.2,30.9,104.1,42.1,20.4,6.1,,12.5,
2001 赛季,8,45.2,0.0,83.7,10.9,31.0,109.0,41.9,19.6,6.3,,12.5,
2000 赛季,10,39.9,0.0,84.8,12.2,28.8,92.2,41.0,17.0,5.9,,11.6,
