年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2020 赛季,12,47.2,38.2,86.8,8.3,34.3,112.5,42.6,22.6,7.1,4.8,11.6,21.2
2019 赛季,4,39.7,33.7,72.4,9.3,35.0,105.8,44.3,25.8,5.0,4.5,14.5,21.3
2018 赛季,5,42.0,32.4,80.8,11.2,29.2,111.4,40.4,19.2,7.6,2.8,14.2,22.8
2014 赛季,6,43.5,35.4,74.4,9.5,35.0,96.3,44.5,21.7,7.5,3.3,14.3,19.0
2013 赛季,12,46.3,34.2,73.7,10.0,27.8,95.5,37.8,18.3,6.9,2.8,12.3,22.3
2012 赛季,7,44.2,31.6,75.8,11.7,30.4,99.4,42.1,19.9,6.3,5.6,11.6,19.9
2006 赛季,12,44.4,0.0,74.3,8.6,31.3,90.2,39.8,23.0,6.3,,16.1,
2005 赛季,11,45.2,0.0,76.1,10.0,28.6,94.2,38.6,22.1,6.9,,12.7,
2004 赛季,4,39.5,0.0,75.2,13.0,29.8,96.8,42.8,21.3,7.5,,13.0,
2003 赛季,11,42.3,0.0,73.0,10.6,32.1,88.2,42.7,20.5,8.6,,18.6,
2002 赛季,20,42.5,0.0,76.2,13.6,31.5,93.7,45.1,21.3,7.5,,15.2,
2001 赛季,20,43.2,0.0,72.6,12.4,30.4,95.4,42.7,21.3,7.9,,14.2,
1997 赛季,3,47.0,0.0,75.7,12.3,27.0,95.0,39.3,16.7,7.0,,13.3,
