年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2020 赛季,10,45.7,38.2,76.1,11.7,31.9,114.8,43.6,24.9,6.1,4.3,11.2,20.4
2019 赛季,19,47.1,37.9,81.6,9.3,31.4,107.4,40.6,22.5,6.2,4.0,14.0,22.4
2018 赛季,14,44.3,34.4,78.2,13.1,34.6,109.1,47.7,24.0,5.7,4.6,9.8,21.3
2012 赛季,6,43.8,31.1,73.0,11.8,26.8,103.0,38.7,21.2,9.0,2.8,14.5,23.2
2011 赛季,7,43.0,27.8,71.8,15.4,32.3,96.7,47.7,20.9,7.0,6.9,11.1,21.0
2010 赛季,5,42.3,0.0,70.6,7.4,30.6,97.4,38.0,17.6,6.6,,12.2,
2009 赛季,6,47.6,0.0,76.5,10.3,29.3,109.3,39.7,19.2,8.2,,13.7,
2008 赛季,16,47.5,0.0,75.9,10.7,29.6,107.9,40.3,22.6,9.2,,12.1,
2007 赛季,4,42.7,0.0,74.1,16.5,32.3,101.5,48.8,18.5,6.3,,14.5,
2006 赛季,5,42.3,0.0,78.1,13.0,30.4,88.2,43.4,17.6,5.6,,15.2,
2005 赛季,5,38.0,0.0,72.7,14.0,27.8,87.4,41.8,19.8,6.8,,11.8,
2004 赛季,5,41.7,0.0,73.7,10.2,29.2,90.2,39.4,16.4,6.4,,13.0,
2003 赛季,5,42.7,0.0,70.2,14.4,28.8,90.6,43.2,20.4,7.8,,14.2,
