年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2019 赛季,4,45.5,37.5,77.8,5.8,30.8,100.8,36.5,22.5,9.3,5.5,15.3,23.3
2018 赛季,4,40.1,33.6,72.0,8.0,32.3,91.8,40.3,20.8,8.3,3.5,12.0,20.0
2017 赛季,7,48.1,35.8,71.1,8.1,31.9,100.6,40.0,21.1,8.1,2.7,13.1,21.9
2016 赛季,4,46.6,39.1,76.7,11.8,30.3,108.8,42.0,22.5,8.0,3.8,13.3,22.8
2015 赛季,7,44.1,38.3,82.0,9.1,30.1,93.7,39.3,18.1,7.6,5.6,14.4,22.3
2013 赛季,19,45.1,38.0,72.7,8.2,31.3,91.6,39.5,18.8,7.1,4.2,13.6,20.7
2012 赛季,19,43.3,32.7,74.0,12.7,32.9,91.8,45.6,17.5,5.4,4.5,16.4,22.4
2011 赛季,11,42.4,32.0,77.1,12.4,31.6,90.9,44.0,16.3,6.9,5.5,15.1,22.0
2010 赛季,5,40.9,0.0,77.0,13.0,25.4,90.2,38.4,16.0,8.2,,15.2,
2005 赛季,6,44.3,0.0,74.8,8.3,29.0,89.3,37.3,17.8,6.0,,15.8,
2004 赛季,13,39.5,0.0,78.4,10.9,29.2,84.0,40.1,18.0,8.1,,15.1,
2003 赛季,16,40.8,0.0,73.3,10.8,31.3,85.5,42.1,17.9,8.7,,13.6,
2002 赛季,6,38.8,0.0,79.0,13.2,33.7,91.2,46.8,19.8,7.0,,14.2,
2001 赛季,5,45.8,0.0,76.1,8.4,33.8,91.6,42.2,21.2,8.2,,18.2,
2000 赛季,4,39.8,0.0,82.7,11.8,28.0,87.3,39.8,20.8,4.8,,12.5,
1999 赛季,23,44.3,0.0,82.7,10.1,30.4,98.1,40.5,20.3,5.4,,11.6,
1998 赛季,13,44.1,0.0,76.3,11.6,29.8,93.6,41.5,20.7,6.6,,15.9,
1997 赛季,16,46.0,0.0,76.0,9.3,26.0,91.8,35.3,19.1,7.2,,14.6,
