年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2018 赛季,4,38.8,33.1,72.7,10.8,31.5,98.0,42.3,23.0,7.3,4.0,10.5,24.3
2015 赛季,4,47.8,37.6,64.8,7.0,30.8,95.0,37.8,21.8,5.3,3.3,10.5,19.0
2008 赛季,4,40.9,0.0,82.8,7.5,26.0,78.0,33.5,16.5,4.3,,11.3,
2007 赛季,17,45.5,0.0,80.2,10.6,25.7,91.4,36.2,20.5,7.4,,12.9,
2006 赛季,16,43.0,0.0,76.7,11.8,28.8,91.4,40.6,20.1,7.1,,13.3,
2005 赛季,18,43.2,0.0,72.4,11.3,27.4,91.7,38.8,18.7,6.4,,11.9,
2004 赛季,25,43.7,0.0,74.2,12.4,29.9,90.3,42.3,20.5,7.3,,12.2,
2003 赛季,23,41.2,0.0,73.4,12.9,32.0,87.1,44.8,19.4,8.0,,14.9,
2002 赛季,17,41.0,0.0,74.1,10.8,28.3,89.9,39.1,17.8,8.0,,13.4,
2001 赛季,10,39.9,0.0,72.3,9.6,28.1,83.0,37.7,18.7,7.3,,14.6,
1999 赛季,3,40.4,0.0,71.6,6.0,28.3,79.7,34.3,14.7,6.0,,17.0,
1998 赛季,5,42.9,0.0,79.2,11.2,24.0,79.2,35.2,17.8,7.2,,11.8,
1996 赛季,5,43.3,0.0,76.8,8.6,23.2,85.6,31.8,13.6,7.0,,9.6,
