年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2019 赛季,11,44.2,36.3,77.8,8.2,36.5,109.4,44.6,24.8,7.1,5.5,13.1,22.5
2018 赛季,24,44.4,34.6,83.0,8.3,34.0,106.6,42.3,22.5,8.0,4.6,12.1,22.6
2017 赛季,10,47.3,39.0,79.9,9.4,30.7,107.3,40.1,21.8,5.7,6.1,14.0,22.6
2016 赛季,10,44.4,33.2,81.3,6.8,32.5,96.7,39.3,19.6,7.4,4.4,12.9,20.9
2015 赛季,20,42.1,29.8,73.7,10.8,29.6,93.4,40.4,15.7,7.5,3.7,13.0,21.9
2014 赛季,4,41.6,30.0,71.8,8.8,29.8,96.3,38.5,19.5,7.5,2.3,12.0,25.0
2013 赛季,7,44.1,31.3,83.3,10.1,31.6,96.1,41.7,17.7,5.6,3.0,15.3,25.9
2007 赛季,5,43.5,0.0,86.5,9.8,29.4,99.4,39.2,24.0,7.2,,10.0,
2006 赛季,6,44.2,0.0,80.4,7.3,30.5,90.8,37.8,16.2,7.7,,14.7,
2001 赛季,5,42.2,0.0,73.8,12.4,30.0,83.8,42.4,21.0,8.0,,16.0,
2000 赛季,12,44.3,0.0,75.6,11.9,26.8,92.2,38.8,22.4,7.8,,13.6,
1999 赛季,3,37.4,0.0,77.4,13.0,29.7,83.7,42.7,19.0,9.0,,14.3,
