年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2019 赛季,12,43.6,36.2,78.9,6.7,32.2,107.7,38.8,21.3,9.1,3.5,13.4,22.2
2018 赛季,11,44.4,36.6,76.4,9.6,33.3,108.5,42.9,18.3,8.6,5.1,15.8,21.6
2017 赛季,17,43.6,33.7,77.2,8.8,34.2,104.9,43.0,18.8,8.1,5.5,12.1,19.1
2016 赛季,11,43.9,33.3,78.9,9.9,33.0,107.7,42.9,19.5,7.7,4.6,14.0,20.9
2015 赛季,5,38.6,26.8,64.2,14.4,33.0,91.2,47.4,18.0,8.4,4.2,19.0,25.6
2014 赛季,17,44.8,34.4,65.4,10.9,34.8,108.2,45.7,21.9,8.4,5.5,15.5,23.4
2013 赛季,6,44.5,31.8,74.3,16.7,32.5,112.0,49.2,18.3,6.0,5.0,13.8,26.0
2012 赛季,6,42.4,34.7,71.1,10.8,32.7,100.0,43.5,18.0,5.8,5.5,15.8,23.2
2008 赛季,13,44.7,0.0,76.8,9.7,30.9,91.5,40.5,17.0,6.2,,14.2,
2007 赛季,6,40.9,0.0,68.2,13.0,29.0,88.0,42.0,15.5,6.8,,10.8,
2006 赛季,7,41.0,0.0,78.8,9.9,31.7,87.3,41.6,18.1,7.0,,14.9,
2004 赛季,7,46.6,0.0,79.0,10.7,27.0,97.6,37.7,18.0,7.3,,14.3,
2003 赛季,5,42.7,0.0,71.9,9.6,34.8,84.6,44.4,17.2,5.2,,16.8,
1998 赛季,4,41.5,0.0,76.3,13.3,32.5,97.0,45.8,20.5,7.5,,13.3,
1997 赛季,5,38.5,0.0,73.2,11.2,31.2,84.6,42.4,16.2,7.2,,13.0,
1996 赛季,16,45.8,0.0,76.7,12.3,29.3,101.3,41.5,23.1,7.7,,15.2,
