年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2020 赛季,12,49.6,39.3,68.5,9.0,35.7,116.3,44.7,24.9,8.0,6.2,12.8,23.0
2019 赛季,4,39.6,26.4,81.3,12.3,33.8,100.5,46.0,17.5,5.0,4.5,12.0,22.3
2018 赛季,12,45.9,33.1,79.0,11.4,37.1,108.7,48.5,24.4,6.3,5.4,16.5,22.4
2017 赛季,10,43.7,33.8,76.0,13.4,36.1,108.8,49.5,25.8,7.8,4.1,14.6,22.8
2011 赛季,13,41.1,30.4,71.9,10.8,31.0,85.7,41.8,18.2,7.6,5.3,11.5,18.7
2010 赛季,5,41.4,0.0,72.4,10.6,30.0,86.6,40.6,20.4,6.4,,10.6,
2008 赛季,6,45.3,0.0,71.0,8.0,28.8,88.5,36.8,17.8,6.2,,14.7,
2007 赛季,6,41.7,0.0,72.2,13.5,24.7,85.8,38.2,15.8,8.8,,14.8,
2004 赛季,5,43.7,0.0,71.6,9.6,25.2,90.8,34.8,19.8,8.6,,12.8,
2002 赛季,12,44.3,0.0,80.3,12.1,29.8,92.1,41.8,18.9,7.2,,14.8,
2001 赛季,5,41.3,0.0,75.6,12.6,28.6,89.0,41.2,19.4,9.0,,14.4,
2000 赛季,23,42.1,0.0,76.1,14.1,29.7,92.3,43.9,20.0,8.0,,12.4,
1999 赛季,10,42.8,0.0,74.2,13.5,28.9,94.2,42.4,19.1,6.5,,12.7,
1998 赛季,8,42.2,0.0,71.4,16.9,27.5,89.3,44.4,19.0,10.4,,13.3,
