年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2018 赛季,7,46.3,33.8,77.0,10.7,34.4,103.3,45.1,21.1,4.6,4.0,8.4,19.4
2017 赛季,5,41.3,29.8,83.5,8.4,29.2,96.8,37.6,19.0,7.6,3.0,11.0,20.4
2016 赛季,16,46.2,35.0,77.3,12.8,31.7,107.1,44.4,21.3,7.8,4.7,12.8,18.8
2015 赛季,10,46.9,42.9,80.0,7.9,31.6,102.0,39.5,21.3,9.1,7.0,11.6,18.2
2014 赛季,7,44.9,36.6,68.0,11.7,34.7,103.4,46.4,24.1,6.1,4.7,12.1,24.9
2013 赛季,23,49.1,40.9,76.7,9.4,32.6,106.3,42.0,22.2,8.1,3.5,12.6,19.8
2012 赛季,21,46.3,37.8,76.3,9.7,32.9,100.3,42.6,21.9,7.9,5.1,12.9,19.1
2011 赛季,14,48.1,41.6,73.1,8.6,32.0,102.0,40.6,22.9,6.5,4.6,14.3,20.4
2010 赛季,6,43.6,0.0,76.0,10.2,31.5,94.3,41.7,17.8,7.3,,14.3,
2009 赛季,10,46.4,0.0,69.5,10.1,31.0,96.1,41.1,19.2,6.8,,12.7,
2008 赛季,5,45.7,0.0,70.9,8.8,28.8,90.4,37.6,16.0,5.6,,11.0,
2007 赛季,17,44.6,0.0,74.5,9.0,32.8,94.1,41.8,20.4,5.3,,12.8,
2006 赛季,20,45.9,0.0,72.4,10.5,30.1,95.7,40.6,19.9,7.1,,13.9,
2005 赛季,13,49.2,0.0,77.7,8.2,29.0,103.1,37.2,17.5,6.5,,13.3,
2004 赛季,23,45.4,0.0,72.7,12.3,29.7,96.9,42.1,18.4,5.6,,14.5,
2003 赛季,10,44.0,0.0,64.4,12.6,29.7,89.3,42.3,19.4,7.7,,15.5,
2002 赛季,24,44.1,0.0,71.2,12.1,33.4,94.8,45.5,20.7,7.8,,15.2,
2001 赛季,10,43.2,0.0,76.3,11.1,29.9,91.1,41.0,16.9,6.1,,11.1,
2000 赛季,13,43.9,0.0,71.6,10.7,32.9,91.5,43.6,19.6,6.1,,13.9,
1999 赛季,4,37.2,0.0,73.0,12.3,34.0,81.8,46.3,15.0,8.8,,16.3,
1998 赛季,17,45.1,0.0,74.2,9.8,30.4,88.4,40.2,21.3,7.3,,14.9,
1997 赛季,9,46.2,0.0,69.0,11.0,32.6,91.8,43.6,17.3,5.7,,14.4,
