年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2020 赛季,22,48.1,37.6,86.1,8.0,34.7,109.0,42.7,23.2,6.5,4.2,11.9,19.7
2009 赛季,16,47.7,0.0,77.3,10.7,29.4,107.1,40.1,20.8,5.9,,12.6,
2007 赛季,5,46.1,0.0,63.8,9.4,32.2,100.4,41.6,18.8,5.2,,12.4,
2006 赛季,11,47.7,0.0,78.0,9.2,31.2,104.1,40.4,23.4,6.4,,13.8,
2005 赛季,20,48.2,0.0,83.1,7.7,29.0,107.2,36.7,23.4,5.7,,11.6,
2004 赛季,15,49.3,0.0,76.7,12.1,31.1,112.0,43.1,20.5,6.1,,12.9,
2002 赛季,6,38.6,0.0,71.4,13.3,29.7,85.2,43.0,16.2,9.5,,16.2,
2000 赛季,4,38.0,0.0,71.4,13.5,30.8,88.5,44.3,21.3,9.8,,13.8,
1999 赛季,9,40.7,0.0,70.0,13.9,31.0,87.3,44.9,21.0,8.1,,15.3,
1998 赛季,3,43.0,0.0,73.8,10.3,22.7,92.3,33.0,22.3,10.3,,14.0,
1997 赛季,4,43.4,0.0,69.4,12.0,28.5,93.0,40.5,19.8,8.5,,11.0,
1996 赛季,5,41.6,0.0,76.3,10.0,30.4,100.2,40.4,22.8,8.2,,16.2,
