年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2019 赛季,7,43.0,32.8,77.4,9.0,40.9,104.0,49.9,17.9,5.3,4.0,17.0,17.1
2018 赛季,5,44.0,33.1,75.6,10.2,33.0,105.2,43.2,22.6,6.6,5.4,15.2,24.2
2017 赛季,6,43.0,36.4,77.2,9.3,34.7,101.2,44.0,16.3,8.8,4.2,14.0,21.7
2016 赛季,5,44.2,31.1,68.9,12.2,31.4,104.2,43.6,19.8,8.4,8.0,12.8,22.2
2015 赛季,18,45.2,33.3,78.6,12.5,34.4,106.4,46.9,20.5,7.7,5.4,13.9,20.3
2013 赛季,19,45.0,32.3,82.0,11.2,34.1,102.5,45.2,19.3,6.3,6.2,15.1,23.0
2012 赛季,11,42.7,34.9,83.8,9.8,33.1,98.5,42.9,18.1,6.0,7.0,13.6,24.9
2011 赛季,20,46.5,35.5,82.0,9.3,30.5,101.3,39.8,18.0,8.7,6.9,11.6,22.4
2010 赛季,17,44.3,0.0,81.6,13.1,32.9,102.5,45.9,17.6,6.8,,15.4,
2009 赛季,6,39.1,0.0,83.5,11.7,31.7,93.8,43.3,16.2,6.5,,12.5,
2004 赛季,11,45.8,0.0,79.9,12.6,27.6,98.5,40.3,16.2,6.6,,13.8,
2001 赛季,5,43.0,0.0,68.4,11.4,28.8,86.2,40.2,17.4,4.0,,10.6,
1999 赛季,5,43.7,0.0,71.6,12.4,28.6,93.2,41.0,19.8,8.2,,14.6,
1997 赛季,10,45.5,0.0,75.3,12.7,26.1,95.2,38.8,22.0,8.7,,12.7,
1996 赛季,12,44.4,0.0,81.6,13.9,28.8,105.1,42.8,23.4,10.1,,13.6,
