年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2020 赛季,5,45.8,28.9,75.2,10.6,32.8,110.0,43.4,22.4,4.8,4.8,13.4,24.0
2017 赛季,6,46.6,36.6,85.0,8.5,31.5,107.2,40.0,23.3,7.8,5.2,13.5,21.0
2016 赛季,13,45.7,31.7,79.4,11.2,31.8,108.1,43.0,22.8,7.9,6.6,13.8,23.0
2014 赛季,10,44.1,40.3,72.2,11.6,35.6,101.1,47.2,23.1,7.1,5.3,14.5,20.0
2013 赛季,11,43.2,33.5,69.6,11.7,33.2,90.4,44.9,19.5,7.5,5.6,12.8,22.3
2007 赛季,6,42.6,0.0,76.4,9.7,27.7,92.2,37.3,15.7,7.2,,12.3,
2006 赛季,4,41.3,0.0,77.0,10.3,26.3,91.5,36.5,18.8,5.5,,8.8,
2005 赛季,6,44.9,0.0,74.5,11.5,27.7,101.7,39.2,17.5,6.8,,12.8,
2004 赛季,10,42.5,0.0,72.8,12.9,29.9,100.4,42.8,17.2,8.2,,13.7,
1996 赛季,3,47.4,0.0,78.2,11.3,24.3,95.0,35.7,17.0,4.7,,18.7,
