年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2020 赛季,6,252,530,97,235,116,136,56,194,717,250,137,31,33,71,139
2019 赛季,5,188,441,58,153,99,125,49,165,533,214,89,37,18,80,125
2018 赛季,16,631,1447,189,525,304,397,183,540,1755,723,316,110,82,206,364
2017 赛季,4,165,364,43,129,49,63,45,129,422,174,76,33,15,58,82
2016 赛季,4,142,358,44,136,78,97,40,136,406,176,63,29,19,61,87
2015 赛季,11,408,980,131,344,208,281,142,382,1155,524,237,68,43,144,258
2014 赛季,5,167,418,46,131,89,108,50,171,469,221,83,17,26,58,103
2013 赛季,11,422,965,87,251,216,271,129,357,1147,486,193,65,66,152,248
2010 赛季,6,199,439,,,101,129,55,171,529,226,102,34,31,69,125
2009 赛季,6,198,461,,,124,168,65,159,558,224,117,36,26,66,139
2008 赛季,6,200,447,,,90,118,59,159,523,218,88,36,45,68,130
2002 赛季,7,255,553,,,155,206,105,208,709,313,163,44,21,96,158
2001 赛季,3,94,246,,,66,83,36,96,274,132,62,25,9,44,81
2000 赛季,3,96,229,,,59,78,29,84,267,113,49,19,14,45,64
1999 赛季,16,519,1170,,,355,452,156,455,1480,611,308,118,61,203,404
1998 赛季,13,382,902,,,307,408,128,376,1120,504,237,100,55,183,311
1997 赛季,4,144,318,,,88,114,56,111,399,167,96,28,21,65,119
1996 赛季,4,131,292,,,79,109,47,101,359,148,79,22,17,62,115
