年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2020 赛季,23,968,2095,258,804,343,478,295,831,2537,1126,525,180,97,293,413
2019 赛季,10,401,871,133,371,176,243,94,373,1111,467,243,72,42,149,217
2018 赛季,15,597,1325,192,571,306,420,152,627,1692,779,375,100,96,195,327
2017 赛季,7,274,548,67,180,98,139,39,231,713,270,154,46,47,92,160
2016 赛季,6,209,469,54,130,87,125,49,179,559,228,127,49,30,80,128
2014 赛季,6,205,529,33,109,88,125,73,189,531,262,122,65,40,79,127
2012 赛季,4,133,307,24,92,51,81,35,104,341,139,79,40,10,65,79
2009 赛季,7,236,557,,,112,139,78,196,630,274,114,44,23,87,147
2005 赛季,5,189,401,,,84,107,53,132,488,185,105,30,12,66,134
2003 赛季,5,162,389,,,80,108,56,140,428,196,103,41,21,82,112
2002 赛季,6,219,477,,,111,149,50,162,587,212,121,43,23,80,164
2000 赛季,18,630,1450,,,341,426,231,575,1722,806,395,106,123,234,429
1999 赛季,5,189,413,,,84,110,57,157,480,214,103,33,28,59,125
1998 赛季,3,102,225,,,68,88,33,81,286,114,60,25,15,49,90
