年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2016 赛季,6,218,495,42,141,101,119,75,205,579,280,120,43,31,92,110
2014 赛季,12,421,1005,110,295,200,258,140,405,1152,545,266,86,79,168,226
2013 赛季,5,166,393,32,96,86,114,61,148,450,209,101,25,22,66,110
2012 赛季,12,420,959,65,204,198,275,141,348,1103,489,234,77,55,171,269
2011 赛季,6,204,484,26,76,72,111,69,212,506,281,135,31,40,86,123
2010 赛季,16,544,1289,,,291,371,214,483,1480,697,322,117,106,218,340
2009 赛季,5,189,431,,,91,114,54,151,485,205,95,29,15,50,107
2008 赛季,7,269,610,,,169,209,73,246,758,319,139,47,57,113,172
2006 赛季,10,325,756,,,215,295,116,303,924,419,206,70,42,153,221
2005 赛季,6,204,458,,,135,182,53,183,590,236,110,34,23,95,155
2004 赛季,6,213,508,,,135,187,85,182,615,267,130,38,30,91,175
1997 赛季,21,717,1611,,,434,591,294,566,1956,860,431,188,95,264,478
1996 赛季,19,659,1524,,,324,441,283,543,1758,826,393,162,92,236,461
