年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2017 赛季,22,811,1801,221,667,382,508,215,695,2225,910,423,131,97,279,430
2016 赛季,18,737,1495,256,610,362,472,166,593,2092,759,397,133,84,235,338
2015 赛季,21,805,1717,258,635,332,458,225,684,2200,909,446,163,89,262,412
2014 赛季,20,694,1654,195,574,397,538,245,697,1980,942,360,126,127,259,418
2009 赛季,11,384,819,,,255,344,95,342,1102,437,232,67,73,164,241
2008 赛季,14,487,1052,,,299,403,141,423,1366,564,268,93,64,173,288
2007 赛季,13,404,963,,,274,380,153,379,1169,532,262,78,63,180,287
2006 赛季,20,642,1526,,,384,521,238,628,1776,866,350,144,69,260,414
2005 赛季,13,437,999,,,246,322,162,387,1175,549,210,85,55,188,320
1997 赛季,4,107,246,,,102,141,40,98,323,138,74,34,12,73,95
