年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2020 赛季,5,192,441,64,183,113,137,63,144,561,207,105,32,35,65,105
2019 赛季,17,656,1444,211,619,336,412,149,620,1859,769,385,114,82,237,379
2018 赛季,9,321,757,102,297,175,218,67,363,919,430,193,53,34,133,187
2017 赛季,19,692,1582,199,581,343,447,168,624,1926,792,403,130,77,221,388
2016 赛季,18,691,1513,229,620,283,366,170,513,1894,683,485,139,74,242,374
2015 赛季,6,206,537,52,189,99,126,64,212,563,276,126,38,39,88,132
2014 赛季,4,139,331,22,86,79,102,40,123,379,163,80,21,15,54,107
2012 赛季,6,171,414,41,124,111,129,31,203,494,234,101,33,18,104,113
2011 赛季,20,676,1543,93,326,345,432,159,638,1790,797,396,164,98,260,433
2010 赛季,9,322,692,,,141,181,80,271,852,351,189,66,38,141,197
2009 赛季,24,823,1816,,,468,620,212,727,2253,939,507,192,110,334,590
2008 赛季,14,524,1177,,,288,364,152,453,1430,605,321,109,69,191,340
2007 赛季,26,873,1953,,,541,691,288,752,2444,1040,559,198,112,333,631
2004 赛季,7,230,520,,,120,159,72,204,614,276,116,59,45,107,178
2003 赛季,4,115,282,,,87,108,37,127,338,164,70,26,20,79,81
2002 赛季,10,334,791,,,192,240,88,319,946,407,207,86,43,148,259
2001 赛季,16,525,1255,,,284,367,169,523,1460,692,300,142,76,226,366
