年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2020 赛季,19,743,1557,263,691,371,451,167,615,2120,782,395,129,81,203,370
2019 赛季,13,532,1123,157,427,261,327,123,449,1482,572,275,97,48,169,298
2018 赛季,6,239,535,69,190,141,173,60,181,688,241,152,48,20,90,150
2016 赛季,7,255,539,57,164,117,168,54,210,684,264,129,44,17,85,142
2015 赛季,6,223,510,34,117,110,176,68,209,590,277,109,51,28,58,123
2014 赛季,14,553,1187,117,356,286,429,135,490,1509,625,315,120,82,184,347
2013 赛季,13,512,1110,119,335,271,371,148,369,1414,517,310,122,57,164,316
2012 赛季,6,211,452,35,115,111,142,53,170,568,223,108,31,34,80,167
2011 赛季,11,379,828,68,180,174,261,96,309,1000,405,190,104,72,162,265
2005 赛季,12,476,969,,,262,321,132,415,1268,547,249,60,71,186,287
1996 赛季,3,98,225,,,63,86,31,69,277,100,49,19,13,36,87
