年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2020 赛季,18,701,1562,211,615,300,376,164,599,1913,763,364,121,79,224,382
2016 赛季,6,225,507,50,164,133,174,68,198,633,266,134,36,20,96,128
2015 赛季,10,366,848,106,318,163,205,89,354,1001,443,226,75,76,144,202
2014 赛季,16,590,1369,145,458,243,311,157,542,1568,699,381,136,79,203,315
2013 赛季,7,212,551,79,230,144,174,64,211,647,275,118,46,32,95,146
2012 赛季,6,196,464,37,112,107,157,50,180,536,230,115,44,23,73,145
2011 赛季,6,191,476,35,113,76,97,60,195,493,255,105,33,20,92,119
2010 赛季,12,395,910,,,191,263,108,338,1035,446,217,75,60,149,244
2009 赛季,11,372,876,,,190,242,143,296,984,439,180,70,56,129,233
2008 赛季,11,331,810,,,195,262,118,266,924,384,186,76,37,133,235
2007 赛季,7,205,499,,,172,220,81,187,610,268,122,30,40,111,141
1998 赛季,9,257,671,,,160,208,108,242,717,350,125,73,36,129,175
1997 赛季,4,131,292,,,61,89,44,116,350,160,68,31,19,51,94
1996 赛季,10,309,708,,,203,261,110,290,890,400,154,45,43,161,199
