年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2020 赛季,4,141,357,48,143,62,81,36,133,392,169,86,29,14,56,82
2019 赛季,21,792,1723,268,746,458,555,163,705,2310,868,523,145,81,277,417
2017 赛季,5,183,414,54,138,97,143,48,157,517,205,119,44,32,80,146
2015 赛季,14,516,1127,96,268,228,298,127,492,1356,619,229,76,83,184,297
2013 赛季,20,708,1443,186,470,343,440,119,561,1945,680,365,147,77,243,414
2012 赛季,23,824,1762,177,465,409,534,223,653,2234,876,473,191,125,301,510
2011 赛季,23,804,1749,157,452,474,637,234,696,2239,930,402,168,114,299,473
2010 赛季,21,685,1539,,,454,584,213,649,1948,862,346,153,127,291,404
2009 赛季,5,168,386,,,68,93,47,141,438,188,88,35,25,89,114
2008 赛季,7,219,487,,,129,158,62,209,617,271,105,43,40,94,155
2006 赛季,4,133,299,,,67,109,32,113,355,145,71,25,21,59,101
2005 赛季,23,801,1666,,,466,711,219,748,2214,967,402,161,105,357,553
2004 赛季,15,540,1097,,,300,449,124,500,1470,624,284,82,86,230,368
2003 赛季,13,397,972,,,251,333,148,396,1093,544,212,98,53,184,317
2000 赛季,3,89,217,,,41,58,22,83,235,105,50,15,15,56,76
1999 赛季,10,309,737,,,167,242,105,329,832,434,191,72,51,139,260
1998 赛季,5,136,340,,,95,135,41,137,395,178,82,36,22,63,103
1997 赛季,5,150,348,,,101,148,41,143,437,184,82,34,19,68,127
1996 赛季,17,502,1226,,,315,455,189,513,1461,702,292,114,87,276,384
