年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2020 赛季,11,437,926,198,480,214,267,103,363,1286,466,216,57,45,148,237
2019 赛季,7,279,573,110,261,126,163,65,223,794,288,150,43,22,84,133
2018 赛季,5,173,432,47,179,96,128,59,177,489,236,115,46,27,76,109
2017 赛季,11,415,912,118,329,178,259,103,392,1126,495,223,83,55,171,226
2016 赛季,11,392,862,104,285,188,257,74,356,1076,430,217,81,35,133,232
2011 赛季,4,131,343,9,45,74,105,64,130,345,194,67,26,27,54,81
2009 赛季,10,381,795,,,244,335,109,287,1071,396,238,59,44,132,270
2008 赛季,5,175,405,,,112,151,66,147,487,213,127,49,17,73,119
2007 赛季,12,437,982,,,243,324,174,358,1187,532,257,78,69,155,306
2006 赛季,17,619,1350,,,353,471,221,530,1664,751,377,125,81,272,419
2002 赛季,5,169,389,,,118,150,70,126,465,196,105,36,28,82,124
2001 赛季,4,132,318,,,74,108,61,112,352,173,92,36,28,66,104
2000 赛季,5,165,389,,,100,129,63,147,448,210,116,26,26,61,134
1999 赛季,10,331,746,,,175,237,103,300,883,403,236,69,54,149,250
1998 赛季,11,356,825,,,237,311,123,346,981,469,242,85,52,170,298
1997 赛季,20,667,1467,,,379,509,194,602,1779,796,446,130,97,287,520
1996 赛季,20,673,1490,,,477,608,228,607,1922,835,435,147,98,266,496
