年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2020 赛季,5,172,432,52,152,89,109,59,173,485,232,93,29,14,61,99
2012 赛季,12,399,972,96,280,169,216,128,346,1063,474,181,106,51,139,285
2011 赛季,5,153,367,25,91,83,109,62,140,414,202,63,30,11,92,121
2010 赛季,4,128,332,,,74,99,58,104,363,162,67,26,27,61,75
2003 赛季,4,123,320,,,73,101,49,105,336,154,78,37,16,65,112
2000 赛季,5,167,357,,,91,117,39,143,445,182,78,31,19,73,121
1999 赛季,16,499,1158,,,281,368,129,486,1351,615,234,104,65,188,367
1998 赛季,20,637,1485,,,362,478,203,582,1700,785,299,151,78,268,509
1997 赛季,10,322,738,,,189,247,105,292,886,397,188,86,20,161,268
1996 赛季,10,343,735,,,171,222,97,298,912,395,211,86,35,157,234
