年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2020 赛季,6,206,498,59,197,114,147,63,196,585,259,116,40,24,83,123
2019 赛季,21,862,1764,254,718,391,516,222,704,2369,926,538,169,112,323,476
2012 赛季,4,138,312,20,74,45,74,34,126,341,160,74,23,21,66,70
2011 赛季,12,422,998,63,207,221,284,170,368,1128,538,226,69,93,150,236
2010 赛季,10,347,778,,,190,245,126,283,932,409,189,69,51,125,206
2009 赛季,23,859,1867,,,450,597,294,693,2325,987,452,154,143,287,534
2008 赛季,23,861,1852,,,473,633,256,711,2355,967,446,181,144,300,540
2007 赛季,21,772,1651,,,461,612,185,646,2151,831,436,151,111,279,489
2006 赛季,5,190,430,,,78,108,71,146,490,217,72,29,20,76,115
2005 赛季,7,264,582,,,126,165,77,221,704,298,120,45,22,105,160
2003 赛季,22,727,1639,,,376,614,224,661,1939,885,498,161,93,278,503
2002 赛季,12,448,1000,,,222,313,148,371,1203,519,251,84,64,165,288
2001 赛季,19,679,1529,,,385,534,233,630,1859,863,373,130,110,261,449
2000 赛季,16,612,1309,,,332,491,229,542,1654,771,365,147,92,224,363
1999 赛季,23,859,1849,,,453,727,304,693,2295,997,502,151,140,280,582
1998 赛季,8,282,637,,,150,234,97,226,752,323,156,53,51,112,202
1997 赛季,13,463,976,,,299,460,174,347,1303,521,295,96,101,168,320
1996 赛季,9,290,649,,,233,315,101,249,857,350,185,61,55,120,241
