年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2019 赛季,5,186,443,75,199,88,105,33,182,535,215,119,34,16,73,105
2018 赛季,5,161,415,52,174,86,111,48,169,460,217,95,33,20,78,94
2011 赛季,5,155,389,42,123,67,95,49,143,419,192,86,30,22,70,95
2010 赛季,6,186,455,,,123,167,71,183,532,254,87,39,24,77,129
2009 赛季,14,459,991,,,296,422,130,435,1352,565,236,90,77,192,313
2008 赛季,24,828,1810,,,470,651,200,721,2327,921,453,162,116,316,513
2007 赛季,10,354,754,,,173,243,117,312,971,429,174,48,49,145,205
2006 赛季,4,138,289,,,66,114,45,116,352,161,72,17,14,59,97
2002 赛季,7,217,512,,,143,183,69,198,613,267,112,37,28,107,209
2001 赛季,4,133,314,,,92,124,36,122,375,158,78,22,15,48,103
2000 赛季,4,156,359,,,67,98,54,121,411,175,88,32,25,45,106
1998 赛季,4,111,295,,,96,129,58,100,345,158,79,36,15,76,94
1996 赛季,5,149,365,,,94,126,48,140,421,188,66,32,26,62,95
