年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2020 赛季,7,274,602,95,245,99,140,72,212,742,284,145,39,15,77,142
2019 赛季,6,253,535,81,225,115,159,46,213,702,259,129,39,22,76,135
2015 赛季,5,177,406,31,107,84,121,46,129,469,175,103,30,12,59,120
2014 赛季,5,208,460,38,122,96,126,68,169,550,237,106,35,23,71,136
2013 赛季,7,274,607,59,157,101,132,82,203,708,285,134,46,29,80,142
2011 赛季,4,126,312,32,86,89,107,42,120,373,162,62,32,14,58,83
2010 赛季,21,724,1572,,,431,533,203,603,2063,806,423,149,86,271,422
2009 赛季,6,204,476,,,111,140,72,191,557,263,111,45,30,78,135
2008 赛季,10,356,757,,,231,284,92,315,1016,407,181,65,38,130,228
2007 赛季,5,158,394,,,118,150,72,154,470,226,97,20,20,58,103
2006 赛季,6,205,485,,,139,180,84,182,591,266,107,50,30,98,143
2005 赛季,23,831,1842,,,522,645,280,701,2294,981,351,152,99,295,587
2004 赛季,13,495,1094,,,291,370,187,378,1367,565,227,94,66,171,295
2003 赛季,5,191,482,,,91,118,102,159,498,261,103,46,33,68,108
2002 赛季,20,774,1721,,,350,422,223,618,2082,841,408,121,103,250,486
2001 赛季,8,318,704,,,169,202,87,248,872,335,157,50,37,100,206
2000 赛季,10,322,808,,,217,256,122,288,922,410,170,59,55,116,234
