年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2020 赛季,12,488,1034,163,427,211,243,99,412,1350,511,271,85,58,139,254
2019 赛季,4,145,365,62,184,71,98,37,140,423,177,103,20,18,58,85
2018 赛季,5,192,457,55,170,118,146,56,146,557,202,96,38,14,71,114
2014 赛季,6,217,499,51,144,93,125,57,210,578,267,130,45,20,86,114
2013 赛季,12,417,901,93,272,219,297,120,334,1146,454,220,83,34,147,268
2012 赛季,7,259,586,43,136,135,178,82,213,696,295,139,44,39,81,139
2006 赛季,12,391,880,,,208,280,103,375,1082,478,276,76,35,193,254
2005 赛季,11,377,834,,,223,293,110,315,1036,425,243,76,28,140,293
2004 赛季,4,134,339,,,94,125,52,119,387,171,85,30,5,52,123
2003 赛季,11,339,801,,,243,333,117,353,970,470,225,95,59,204,286
2002 赛季,20,684,1611,,,412,541,271,630,1873,901,426,149,85,304,502
2001 赛季,20,717,1658,,,390,537,247,607,1907,854,426,157,110,284,490
1997 赛季,3,111,236,,,56,74,37,81,285,118,50,21,10,40,78
