年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2020 赛季,10,421,922,147,385,159,209,117,319,1148,436,249,61,43,112,204
2019 赛季,19,738,1568,233,615,332,407,176,596,2041,772,428,117,76,265,426
2018 赛季,14,559,1263,134,389,276,353,183,485,1528,668,336,80,65,137,298
2012 赛季,6,223,509,42,135,130,178,71,161,618,232,127,54,17,87,139
2011 赛季,7,269,625,37,133,102,142,108,226,677,334,146,49,48,78,147
2010 赛季,5,163,385,,,127,180,37,153,487,190,88,33,18,61,119
2009 赛季,6,224,471,,,169,221,62,176,656,238,115,49,28,82,185
2008 赛季,16,596,1255,,,406,535,171,473,1727,644,362,147,83,194,413
2007 赛季,4,151,354,,,86,116,66,129,406,195,74,25,19,58,102
2006 赛季,5,168,397,,,82,105,65,152,441,217,88,28,21,76,90
2005 赛季,5,163,429,,,96,132,70,139,437,209,99,34,21,59,116
2004 赛季,5,164,393,,,112,152,51,146,451,197,82,32,29,65,135
2003 赛季,5,186,436,,,59,84,72,144,453,216,102,39,14,71,121
