年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2019 赛季,4,146,321,48,128,63,81,23,123,403,146,90,37,22,61,93
2018 赛季,4,134,334,40,119,59,82,32,129,367,161,83,33,14,48,80
2017 赛季,7,270,561,68,190,96,135,57,223,704,280,148,57,19,92,153
2016 赛季,4,162,348,45,115,66,86,47,121,435,168,90,32,15,53,91
2015 赛季,7,231,524,57,149,137,167,64,211,656,275,127,53,39,101,156
2013 赛季,19,639,1416,139,366,323,444,156,594,1740,750,357,134,80,258,394
2012 赛季,19,612,1413,119,364,401,542,242,625,1744,867,332,103,85,312,426
2011 赛季,11,371,874,63,197,195,253,136,348,1000,484,179,76,60,166,242
2010 赛季,5,164,401,,,94,122,65,127,451,192,80,41,28,76,115
2005 赛季,6,187,422,,,122,163,50,174,536,224,107,36,27,95,149
2004 赛季,13,375,949,,,269,343,142,379,1092,521,234,105,77,196,286
2003 赛季,16,491,1202,,,291,397,173,501,1368,674,286,139,100,217,376
2002 赛季,6,181,466,,,154,195,79,202,547,281,119,42,35,85,141
2001 赛季,5,174,380,,,86,113,42,169,458,211,106,41,20,91,125
2000 赛季,4,131,329,,,62,75,47,112,349,159,83,19,18,50,94
1999 赛季,23,804,1814,,,484,585,232,700,2256,932,468,125,107,267,538
1998 赛季,13,426,965,,,280,367,151,388,1217,539,269,86,67,206,337
1997 赛季,16,512,1113,,,357,470,148,416,1468,564,306,115,79,234,397
