年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2017 赛季,9,386,808,89,243,129,165,71,339,990,410,242,73,45,130,174
2014 赛季,4,152,337,27,85,72,89,43,125,403,168,93,30,23,54,95
2010 赛季,6,197,431,,,115,155,46,155,536,201,121,43,18,77,142
2008 赛季,5,139,351,,,113,140,46,139,421,185,79,33,13,92,124
2007 赛季,12,451,972,,,188,243,123,382,1159,505,231,87,61,106,248
2003 赛季,7,205,534,,,113,145,86,210,564,296,135,43,32,120,146
2002 赛季,6,203,463,,,113,152,74,161,557,235,120,44,30,88,153
2001 赛季,9,307,729,,,211,291,132,284,865,416,176,80,66,133,247
2000 赛季,10,339,781,,,235,314,132,299,957,431,197,86,46,121,209
1999 赛季,4,129,300,,,89,108,54,122,365,176,91,33,23,62,88
1997 赛季,9,298,656,,,117,171,82,243,745,325,191,58,25,127,194
1996 赛季,3,109,241,,,50,62,38,73,287,111,55,20,9,40,63
