年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2018 赛季,4,150,387,44,133,48,66,43,126,392,169,92,29,16,42,97
2015 赛季,4,144,301,35,93,57,88,28,123,380,151,87,21,13,42,76
2008 赛季,4,126,308,,,48,58,30,104,312,134,66,17,12,45,95
2007 赛季,17,576,1266,,,325,405,180,436,1554,616,349,125,99,220,396
2006 赛季,16,523,1216,,,323,421,189,460,1462,649,322,113,75,213,382
2005 赛季,18,578,1338,,,370,511,204,494,1650,698,336,116,74,214,367
2004 赛季,25,863,1974,,,419,565,309,748,2258,1057,512,183,153,305,526
2003 赛季,23,722,1754,,,462,629,296,735,2003,1031,447,184,164,342,518
2002 赛季,17,514,1255,,,387,522,183,481,1529,664,302,136,100,228,399
2001 赛季,10,294,736,,,162,224,96,281,830,377,187,73,56,146,210
1999 赛季,3,84,208,,,58,81,18,85,239,103,44,18,5,51,74
1998 赛季,5,161,375,,,57,72,56,120,396,176,89,36,9,59,113
1996 赛季,5,162,374,,,76,99,43,116,428,159,68,35,12,48,101
