年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2019 赛季,11,430,973,161,443,182,234,90,401,1203,491,273,78,60,144,247
2018 赛季,24,904,2034,286,827,464,559,199,817,2558,1016,541,193,110,290,543
2017 赛季,10,389,823,104,267,191,239,94,307,1073,401,218,57,61,140,226
2016 赛季,10,353,795,78,235,183,225,68,325,967,393,196,74,44,129,209
2015 赛季,20,685,1628,137,459,361,490,216,591,1868,807,314,150,73,260,437
2014 赛季,4,147,353,30,100,61,85,35,119,385,154,78,30,9,48,100
2013 赛季,7,229,519,46,147,169,203,71,221,673,292,124,39,21,107,181
2007 赛季,5,186,428,,,83,96,49,147,497,196,120,36,12,50,114
2006 赛季,6,195,441,,,123,153,44,183,545,227,97,46,24,88,128
2001 赛季,5,163,386,,,76,103,62,150,419,212,105,40,26,80,117
2000 赛季,12,423,954,,,189,250,143,322,1106,465,269,94,73,163,257
1999 赛季,3,83,222,,,72,93,39,89,251,128,57,27,13,43,78
