年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2020 赛季,12,510,1029,134,341,241,352,108,428,1395,536,299,96,74,154,276
2019 赛季,4,133,336,32,121,104,128,49,135,402,184,70,20,18,48,89
2018 赛季,12,473,1030,113,341,245,310,137,445,1304,582,293,76,65,198,269
2017 赛季,10,387,885,99,293,215,283,134,361,1088,495,258,78,41,146,228
2011 赛季,13,417,1015,52,171,228,317,140,403,1114,543,236,99,69,150,243
2010 赛季,5,169,408,,,63,87,53,150,433,203,102,32,18,53,102
2008 赛季,6,204,450,,,88,124,48,173,531,221,107,37,18,88,138
2007 赛季,6,187,448,,,130,180,81,148,515,229,95,53,22,89,115
2004 赛季,5,174,398,,,73,102,48,126,454,174,99,43,20,64,109
2002 赛季,12,404,911,,,252,314,145,357,1105,502,227,86,30,178,287
2001 赛季,5,152,368,,,121,160,63,143,445,206,97,45,20,72,93
2000 赛季,23,783,1859,,,470,618,325,684,2124,1009,459,185,113,285,475
1999 赛季,10,342,800,,,219,295,135,289,942,424,191,65,45,127,226
1998 赛季,8,277,657,,,140,196,135,220,714,355,152,83,41,106,204
