年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2018 赛季,7,276,596,47,139,124,161,75,241,723,316,148,32,28,59,136
2017 赛季,5,173,419,42,141,96,115,42,146,484,188,95,38,15,55,102
2016 赛季,16,640,1385,137,391,296,383,204,507,1713,711,341,124,75,204,300
2015 赛季,10,387,825,82,191,164,205,79,316,1020,395,213,91,70,116,182
2014 赛季,7,268,597,67,183,121,178,82,243,724,325,169,43,33,85,174
2013 赛季,23,914,1861,203,496,415,541,217,750,2446,967,511,187,80,289,456
2012 赛季,21,799,1726,165,437,344,451,204,690,2107,894,459,165,106,270,401
2011 赛季,14,531,1104,132,317,234,320,121,448,1428,569,320,91,65,200,285
2010 赛季,6,202,463,,,130,171,61,189,566,250,107,44,35,86,129
2009 赛季,10,364,785,,,185,266,101,310,961,411,192,68,43,127,210
2008 赛季,5,175,383,,,73,103,44,144,452,188,80,28,15,55,110
2007 赛季,17,604,1355,,,263,353,153,557,1599,710,346,90,70,217,383
2006 赛季,20,705,1535,,,352,486,210,602,1913,812,397,142,110,278,410
2005 赛季,13,474,963,,,314,404,106,377,1340,483,227,85,72,173,308
2004 赛季,23,798,1759,,,469,645,284,684,2229,968,423,128,133,334,504
2003 赛季,10,335,762,,,154,239,126,297,893,423,194,77,42,155,228
2002 赛季,24,812,1842,,,523,735,291,802,2275,1093,497,186,165,365,514
2001 赛季,10,329,762,,,203,266,111,299,911,410,169,61,65,111,204
2000 赛季,13,434,989,,,250,349,139,428,1190,567,255,79,78,181,269
1999 赛季,4,113,304,,,89,122,49,136,327,185,60,35,30,65,83
1998 赛季,17,537,1192,,,359,484,166,517,1503,683,362,124,99,254,370
1997 赛季,9,300,649,,,191,277,99,293,826,392,156,51,63,130,199
