年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2020 赛季,22,900,1871,246,654,352,409,175,764,2398,939,511,142,92,262,434
2009 赛季,16,608,1274,,,348,450,171,471,1714,642,333,94,66,201,358
2007 赛季,5,190,412,,,97,152,47,161,502,208,94,26,35,62,113
2006 赛季,11,429,900,,,209,268,101,343,1145,444,257,70,57,152,216
2005 赛季,20,801,1661,,,358,431,153,580,2144,733,468,113,87,231,438
2004 赛季,15,627,1272,,,297,387,181,466,1680,647,307,91,94,193,301
2002 赛季,6,194,502,,,95,133,80,178,511,258,97,57,35,97,175
2000 赛季,4,136,358,,,65,91,54,123,354,177,85,39,23,55,94
1999 赛季,9,301,740,,,142,203,125,279,786,404,189,73,56,138,247
1998 赛季,3,104,242,,,48,65,31,68,277,99,67,31,7,42,87
1997 赛季,4,148,341,,,59,85,48,114,372,162,79,34,16,44,100
1996 赛季,5,172,413,,,106,139,50,152,501,202,114,41,26,81,110
