年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2019 赛季,7,257,598,84,256,130,168,63,286,728,349,125,37,28,119,120
2018 赛季,5,189,430,52,157,96,127,51,165,526,216,113,33,27,76,121
2017 赛季,6,223,519,63,173,98,127,56,208,607,264,98,53,25,84,130
2016 赛季,5,193,437,42,135,93,135,61,157,521,218,99,42,40,64,111
2015 赛季,18,688,1521,149,448,390,496,225,620,1915,845,369,139,97,250,366
2013 赛季,19,695,1546,143,443,414,505,212,647,1947,859,366,120,118,287,437
2012 赛季,11,383,898,95,272,222,265,108,364,1083,472,199,66,77,150,274
2011 赛季,20,744,1599,136,383,401,489,186,609,2025,795,360,173,137,231,448
2010 赛季,17,600,1355,,,435,533,222,559,1742,781,300,116,129,262,425
2009 赛季,6,184,471,,,162,194,70,190,563,260,97,39,37,75,137
2004 赛季,11,390,852,,,251,314,139,304,1084,443,178,72,50,152,287
2001 赛季,5,171,398,,,65,95,57,144,431,201,87,20,24,53,117
1999 赛季,5,174,398,,,83,116,62,143,466,205,99,41,17,73,109
1997 赛季,10,356,783,,,174,231,127,261,952,388,220,87,43,127,235
1996 赛季,12,441,994,,,279,342,167,346,1261,513,281,121,49,163,282
