年度,场数,命中,出手,三分命中,三分出手,罚球命中,罚球出手,进攻,防守,得分,篮板,助攻,抢断,盖帽,失误,犯规
2020 赛季,5,203,443,35,121,109,145,53,164,550,217,112,24,24,67,120
2017 赛季,6,238,511,48,131,119,140,51,189,643,240,140,47,31,81,126
2016 赛季,13,521,1139,109,344,254,320,145,414,1405,559,296,103,86,179,299
2014 赛季,10,373,845,94,233,171,237,116,356,1011,472,231,71,53,145,200
2013 赛季,11,379,877,62,185,174,250,129,365,994,494,215,82,62,141,245
2007 赛季,6,192,451,,,133,174,58,166,553,224,94,43,29,74,137
2006 赛季,4,137,332,,,67,87,41,105,366,146,75,22,12,35,85
2005 赛季,6,212,472,,,149,200,69,166,610,235,105,41,33,77,136
2004 赛季,10,351,826,,,246,338,129,299,1004,428,172,82,58,137,254
1996 赛季,3,102,215,,,68,87,34,73,285,107,51,14,19,56,77
