年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,27,45.3,34.8,77.8,10.1,34.0,108.3,44.1,23.1,7.7,4.7,13.8,19.3
2020 赛季,72,45.3,38.5,82.3,10.6,33.9,116.1,44.5,21.3,6.9,5.0,11.1,18.9
2019 赛季,74,46.3,37.7,80.4,10.2,35.1,115.0,45.3,20.6,6.3,6.1,12.8,21.7
2018 赛季,82,46.7,35.9,81.4,11.8,36.2,114.7,48.0,23.0,6.7,5.0,13.8,20.4
2017 赛季,82,45.2,36.6,80.0,10.2,35.3,105.6,45.5,19.5,7.0,5.2,13.5,19.5
2016 赛季,82,45.9,37.5,78.0,10.1,33.5,107.9,43.7,21.1,7.0,5.0,13.7,21.2
2015 赛季,82,45.0,37.0,75.4,11.6,33.9,105.1,45.5,21.3,6.9,4.6,14.6,21.7
2014 赛季,82,45.0,36.2,80.1,10.7,35.1,102.8,45.9,21.9,6.4,4.5,13.6,18.2
2013 赛季,82,45.0,37.2,81.5,12.5,34.0,106.7,46.4,23.2,5.5,4.7,13.7,19.2
2012 赛季,82,44.8,35.3,77.6,10.7,30.2,97.5,40.8,21.8,6.6,4.3,14.7,18.5
2011 赛季,66,44.3,34.6,79.6,11.1,29.5,97.2,40.7,20.4,8.0,4.9,14.2,19.0
2010 赛季,82,44.7,0.0,80.4,12.2,27.2,96.3,39.3,21.2,8.1,,13.1,
2009 赛季,82,46.1,0.0,79.0,11.1,29.1,98.1,40.2,20.4,6.4,,12.3,
2008 赛季,82,46.5,0.0,76.5,12.9,28.8,99.4,41.7,20.3,6.7,,12.9,
2007 赛季,82,44.8,0.0,76.7,11.0,29.7,95.4,40.7,21.1,5.6,,12.9,
2006 赛季,82,45.0,0.0,76.9,11.3,28.0,94.1,39.3,18.5,6.8,,15.1,
2005 赛季,82,44.5,0.0,68.9,10.8,26.9,88.8,37.7,18.2,6.5,,14.7,
2004 赛季,82,45.1,0.0,72.5,11.8,29.3,92.9,41.2,21.0,7.1,,16.0,
2003 赛季,82,44.8,0.0,73.1,12.7,28.9,90.7,41.7,21.6,7.5,,14.8,
2002 赛季,82,46.0,0.0,74.5,12.1,29.0,95.2,41.1,22.7,8.8,,15.2,
2001 赛季,82,45.0,0.0,76.3,13.2,29.8,96.6,43.0,23.5,8.6,,14.3,
2000 赛季,82,46.8,0.0,76.2,11.7,30.3,95.4,42.0,23.9,8.2,,15.3,
1999 赛季,82,47.0,0.0,76.0,11.8,31.2,97.5,43.0,23.5,7.7,,15.2,
1998 赛季,50,44.2,0.0,74.3,12.9,31.4,94.8,44.3,21.5,8.2,,15.4,
1997 赛季,82,45.1,0.0,73.7,13.2,30.8,94.3,44.0,21.5,7.1,,16.9,
1996 赛季,82,46.4,0.0,71.3,12.9,30.4,99.0,43.3,20.9,7.8,,16.6,
