年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,28,45.4,36.1,74.9,10.6,37.1,110.8,47.7,22.9,7.6,4.5,14.6,17.6
2020 赛季,72,48.7,38.9,76.0,10.3,37.8,120.1,48.1,25.5,8.1,4.6,13.8,17.3
2019 赛季,73,47.6,35.5,74.2,9.5,42.2,118.7,51.7,25.9,7.2,5.9,15.1,19.6
2018 赛季,82,47.6,35.3,77.3,9.3,40.4,118.1,49.7,26.0,7.5,5.9,13.9,19.6
2017 赛季,82,47.8,35.5,78.3,8.4,31.5,106.5,39.8,23.2,8.8,5.4,13.8,21.4
2016 赛季,82,47.4,37.0,76.8,8.8,31.6,103.6,40.4,24.2,8.1,5.3,14.0,20.2
2015 赛季,82,46.7,34.5,74.8,10.5,31.2,99.0,41.7,23.1,8.2,5.8,15.2,20.7
2014 赛季,82,45.9,36.3,75.7,10.7,31.4,97.8,42.1,23.6,9.6,4.9,16.7,22.1
2013 赛季,82,43.8,35.3,74.7,11.8,29.3,95.5,41.1,21.5,6.6,4.9,15.1,20.9
2012 赛季,82,43.5,36.0,73.6,13.0,30.9,98.9,44.0,22.9,8.4,6.7,14.1,19.0
2011 赛季,66,44.3,34.5,77.4,12.4,30.1,99.0,42.5,23.5,8.3,5.1,14.1,19.3
2010 赛季,82,43.0,0.0,75.7,10.5,30.2,91.9,40.8,18.8,7.5,,13.5,
2009 赛季,82,43.6,0.0,75.5,11.8,31.2,97.7,43.0,21.2,7.1,,13.2,
2008 赛季,82,44.5,0.0,78.0,11.9,28.9,99.3,40.7,22.0,7.4,,14.1,
2007 赛季,82,44.9,0.0,73.3,12.9,28.8,97.0,41.7,21.5,6.6,,14.8,
2006 赛季,82,46.5,0.0,73.3,11.5,27.7,99.7,39.2,21.6,7.2,,15.1,
2005 赛季,82,45.3,0.0,73.8,11.3,29.9,97.8,41.2,21.6,7.3,,14.6,
2004 赛季,82,45.0,0.0,77.2,12.0,29.3,97.2,41.3,21.0,6.4,,13.8,
2003 赛季,82,44.7,0.0,77.5,11.7,30.5,98.0,42.2,22.8,6.8,,13.5,
2002 赛季,82,45.7,0.0,77.6,10.7,28.9,99.5,39.5,22.2,7.6,,12.7,
2001 赛季,82,46.2,0.0,74.8,10.3,31.2,97.5,41.4,22.5,7.3,,14.1,
2000 赛季,82,45.8,0.0,78.7,11.9,30.5,100.7,42.4,22.5,8.2,,13.7,
1999 赛季,82,46.5,0.0,78.6,12.4,28.9,101.2,41.3,22.6,8.2,,15.0,
1998 赛季,50,45.9,0.0,73.3,11.4,27.4,91.7,38.8,20.6,8.8,,14.4,
1997 赛季,82,45.6,0.0,76.7,12.6,27.3,94.5,39.9,20.1,8.9,,16.9,
1996 赛季,82,47.1,0.0,74.1,11.6,27.6,95.3,39.2,19.6,7.7,,15.7,
