年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,27,46.5,36.8,81.4,9.0,34.2,108.3,43.2,23.3,7.8,4.7,13.5,18.4
2020 赛季,72,47.6,37.0,79.1,9.6,35.3,110.7,45.0,26.8,6.7,4.2,15.1,18.9
2019 赛季,65,44.7,34.8,75.5,10.5,31.4,106.8,41.9,23.2,10.0,4.1,15.5,21.8
2018 赛季,82,45.3,35.1,78.3,8.8,34.1,104.9,42.9,21.9,7.4,4.3,14.1,20.3
2017 赛季,82,43.5,35.5,75.9,9.6,35.0,102.9,44.7,23.5,7.6,3.5,14.0,19.2
2016 赛季,82,44.4,34.0,79.8,12.2,34.1,102.9,46.3,22.6,7.8,4.8,13.6,17.7
2015 赛季,82,44.1,37.1,78.7,11.1,35.2,101.6,46.3,22.8,6.0,5.7,13.9,18.8
2014 赛季,82,44.2,35.3,78.3,11.7,34.0,100.8,45.7,21.7,6.3,5.8,14.0,18.2
2013 赛季,82,43.2,34.8,77.9,11.4,32.7,93.7,44.2,22.7,7.2,5.2,14.9,19.1
2012 赛季,82,43.7,35.3,77.3,12.5,30.7,93.2,43.2,23.0,7.2,5.1,14.3,19.7
2011 赛季,66,45.2,37.5,72.2,13.9,32.8,96.3,46.7,23.1,6.9,5.9,14.0,17.3
2010 赛季,82,46.2,0.0,74.3,11.8,32.4,98.6,44.2,22.3,7.2,,14.2,
2009 赛季,82,45.1,0.0,75.4,11.4,33.1,97.5,44.5,20.8,6.5,,14.3,
2008 赛季,82,45.7,0.0,79.6,11.8,30.3,102.2,42.1,21.1,7.5,,14.5,
2007 赛季,82,43.5,0.0,75.6,12.8,30.2,97.3,43.0,22.1,7.7,,14.6,
2006 赛季,82,45.7,0.0,73.4,12.0,31.7,98.8,43.7,22.3,7.8,,16.0,
2005 赛季,82,44.6,0.0,73.8,11.1,31.7,97.8,42.8,22.0,6.2,,14.9,
2004 赛季,82,43.2,0.0,75.0,12.2,31.6,94.5,43.8,21.3,7.0,,16.7,
2003 赛季,82,41.4,0.0,72.5,12.8,30.7,89.7,43.5,21.9,8.0,,16.1,
2002 赛季,82,44.5,0.0,72.2,12.0,31.0,95.0,43.0,21.7,7.4,,16.9,
2001 赛季,82,43.3,0.0,72.2,11.3,28.8,89.5,40.0,22.2,7.7,,15.3,
2000 赛季,82,42.4,0.0,73.9,11.3,27.6,87.6,38.9,22.1,8.2,,15.8,
1999 赛季,82,41.5,0.0,70.9,12.6,28.3,84.8,40.9,20.1,7.9,,19.0,
1998 赛季,50,40.1,0.0,70.9,11.5,27.9,81.9,39.3,20.3,8.7,,15.5,
1997 赛季,82,45.1,0.0,74.3,15.2,29.7,96.7,44.9,23.8,8.5,,14.4,
1996 赛季,82,47.3,0.0,74.7,15.1,30.0,103.1,45.1,26.1,8.7,,13.5,
