年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,28,45.9,35.3,78.9,10.0,35.1,106.0,45.1,24.9,7.6,4.6,15.8,16.9
2020 赛季,72,45.0,33.6,74.3,10.4,32.3,103.8,42.8,23.8,7.8,4.5,15.5,18.2
2019 赛季,65,45.8,35.1,75.8,10.8,33.4,106.9,44.2,23.1,6.9,3.2,16.5,18.3
2018 赛季,82,44.4,35.5,79.2,10.7,31.9,104.5,42.7,20.7,6.5,2.4,13.5,20.0
2017 赛季,82,47.6,37.2,77.9,8.5,33.7,110.9,42.1,23.4,7.1,3.8,13.7,18.6
2016 赛季,82,47.0,38.4,74.8,9.3,34.4,110.3,43.7,22.7,6.6,4.0,13.7,18.1
2015 赛季,82,46.0,36.2,74.8,10.6,33.9,104.3,44.5,22.7,6.7,3.9,13.6,20.3
2014 赛季,82,45.8,36.7,75.1,11.1,31.9,103.1,43.0,22.1,7.4,4.2,14.3,18.4
2013 赛季,82,43.7,35.6,75.1,12.1,32.1,98.2,44.1,21.2,7.1,3.7,14.2,20.0
2012 赛季,82,43.4,34.6,75.6,12.2,28.8,96.5,41.0,20.7,7.9,4.1,14.0,21.2
2011 赛季,66,42.2,34.6,71.6,12.7,29.5,93.0,42.3,19.8,7.1,4.0,15.4,20.0
2010 赛季,82,43.4,0.0,74.5,10.4,29.9,95.5,40.3,21.0,6.6,,14.2,
2009 赛季,82,48.5,0.0,72.0,9.7,32.8,102.1,42.5,22.4,6.9,,13.9,
2008 赛季,82,46.8,0.0,75.7,10.8,31.4,100.3,42.2,20.3,7.2,,12.7,
2007 赛季,82,43.9,0.0,71.7,13.3,31.3,96.4,44.6,20.0,7.1,,14.0,
2006 赛季,82,44.7,0.0,69.6,12.7,30.8,96.8,43.5,20.8,7.6,,14.4,
2005 赛季,82,45.4,0.0,72.9,11.7,30.6,97.6,42.3,19.0,6.9,,13.9,
2004 赛季,82,44.7,0.0,75.2,13.6,28.7,96.5,42.3,22.6,8.0,,13.9,
2003 赛季,82,43.3,0.0,75.3,13.6,31.9,92.9,45.6,22.0,7.1,,14.8,
2002 赛季,82,42.2,0.0,74.7,13.6,31.0,91.4,44.6,20.9,7.8,,18.3,
2001 赛季,82,44.8,0.0,77.2,11.8,30.3,95.3,42.1,23.1,7.0,,14.6,
2000 赛季,82,44.2,0.0,76.5,12.4,29.8,92.2,42.1,20.8,7.8,,16.5,
1999 赛季,82,44.2,0.0,75.0,12.3,30.5,97.0,42.8,23.7,8.7,,17.4,
1998 赛季,50,43.9,0.0,74.9,9.4,26.3,86.4,35.8,21.9,9.0,,15.7,
1997 赛季,82,45.4,0.0,75.6,11.6,28.4,92.5,40.1,23.1,9.9,,17.3,
1996 赛季,82,45.3,0.0,72.3,11.1,26.3,87.5,37.4,20.9,8.0,,14.5,
