年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,27,44.2,33.2,81.6,10.5,35.5,108.0,46.0,22.6,7.5,5.5,13.9,18.9
2020 赛季,72,46.6,37.4,77.5,10.6,33.6,112.6,44.3,23.5,7.7,5.3,14.1,20.4
2019 赛季,72,46.1,36.4,80.1,10.7,35.4,113.7,46.1,23.0,8.3,5.6,13.8,21.6
2018 赛季,82,46.5,36.5,80.2,9.8,34.7,112.4,44.5,26.3,8.6,5.3,12.8,20.4
2017 赛季,82,45.0,37.7,77.1,9.4,35.1,104.0,44.5,22.5,7.4,4.6,14.0,19.7
2016 赛季,82,45.4,35.9,80.7,9.1,32.9,108.0,42.0,25.2,7.5,4.2,13.3,20.6
2015 赛季,82,43.9,33.5,78.8,11.6,33.3,105.7,44.9,24.2,9.2,4.2,13.7,21.9
2014 赛季,82,44.3,32.7,75.4,11.1,32.7,101.4,43.8,24.5,8.2,3.6,13.8,21.2
2013 赛季,82,43.5,33.3,77.7,12.0,30.6,96.2,42.5,21.0,7.1,4.2,15.4,21.3
2012 赛季,81,46.5,35.8,77.6,8.1,31.3,96.5,39.4,22.8,8.2,4.5,14.6,21.2
2011 赛季,66,46.0,36.7,77.8,7.7,31.1,91.8,38.8,23.6,7.6,5.5,14.8,19.9
2010 赛季,82,48.6,0.0,77.0,7.8,31.0,96.5,38.8,23.4,8.2,,14.6,
2009 赛季,82,48.3,0.0,74.6,8.7,29.9,99.2,38.6,23.5,8.6,,14.9,
2008 赛季,82,48.6,0.0,76.5,10.6,31.5,100.9,42.1,22.7,7.6,,15.6,
2007 赛季,82,47.5,0.0,77.1,10.1,31.9,100.5,42.0,22.4,8.5,,15.2,
2006 赛季,82,44.3,0.0,76.7,11.2,29.2,95.8,40.4,19.9,7.2,,16.5,
2005 赛季,82,46.7,0.0,75.5,9.9,29.7,98.0,39.6,20.9,7.1,,16.6,
2004 赛季,82,46.8,0.0,76.4,11.1,29.7,101.3,40.8,22.1,8.1,,15.8,
2003 赛季,82,44.3,0.0,75.0,10.4,29.8,95.3,40.1,20.5,9.4,,16.2,
2002 赛季,82,41.5,0.0,74.2,10.4,30.1,92.7,40.5,19.2,8.8,,14.0,
2001 赛季,82,42.4,0.0,76.4,10.9,31.3,96.4,42.2,21.0,9.7,,13.6,
2000 赛季,82,42.8,0.0,74.0,10.9,28.9,94.6,39.8,20.8,9.4,,15.7,
1999 赛季,82,44.4,0.0,74.5,13.5,29.5,99.3,43.0,21.2,9.7,,15.4,
1998 赛季,50,43.6,0.0,69.2,13.6,29.2,93.0,42.8,21.5,9.1,,16.1,
1997 赛季,82,43.4,0.0,72.6,14.6,24.9,95.9,39.5,22.1,12.0,,16.2,
1996 赛季,82,44.0,0.0,75.0,13.4,26.7,100.6,40.0,21.9,9.9,,16.4,
