年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,27,44.7,36.0,79.7,9.1,35.1,106.0,44.2,22.9,8.0,4.4,14.9,18.0
2020 赛季,72,48.2,41.1,83.9,9.4,34.7,114.0,44.2,24.4,7.1,4.1,13.2,19.2
2019 赛季,72,46.6,37.1,79.1,10.7,37.0,116.3,47.7,23.7,7.1,4.7,14.6,22.1
2018 赛季,82,47.1,38.8,79.2,9.7,35.8,115.1,45.5,24.0,6.8,4.7,14.5,23.3
2017 赛季,82,47.1,35.4,74.3,10.1,33.7,109.0,43.9,22.3,7.7,4.5,14.7,20.0
2016 赛季,82,47.5,37.5,74.5,9.0,34.0,108.7,43.0,22.5,7.5,4.2,13.0,19.8
2015 赛季,82,46.5,36.4,69.2,8.8,33.3,104.5,42.0,22.8,8.6,5.6,13.0,21.3
2014 赛季,82,47.3,37.6,71.0,9.6,33.1,106.7,42.6,24.8,7.8,5.0,12.3,21.3
2013 赛季,82,47.4,35.2,73.0,10.5,32.5,107.9,43.0,24.6,8.6,4.8,13.9,21.5
2012 赛季,82,47.8,35.8,71.1,11.4,30.2,101.1,41.6,23.9,9.6,5.6,14.6,20.9
2011 赛季,66,45.5,35.7,68.0,12.1,29.4,97.5,41.6,21.0,8.4,4.8,13.3,21.2
2010 赛季,82,45.7,0.0,70.7,11.7,30.5,98.6,42.2,22.1,7.1,,16.4,
2009 赛季,82,45.5,0.0,73.0,11.3,30.5,95.7,41.8,22.1,6.5,,15.7,
2008 赛季,82,44.1,0.0,73.6,10.9,29.0,95.1,39.8,21.0,7.0,,14.9,
2007 赛季,82,43.8,0.0,78.1,9.8,30.4,93.8,40.1,21.1,6.8,,14.4,
2006 赛季,82,45.6,0.0,78.8,10.8,30.3,95.6,41.1,21.5,7.3,,15.1,
2005 赛季,82,46.5,0.0,79.1,10.1,33.0,97.2,43.1,20.8,6.5,,14.5,
2004 赛季,82,45.9,0.0,77.8,12.0,29.9,95.7,41.9,23.2,7.3,,15.7,
2003 赛季,82,42.8,0.0,78.5,14.0,29.5,94.8,43.5,20.2,7.2,,16.4,
2002 赛季,82,43.7,0.0,75.0,12.3,30.0,93.8,42.3,19.6,7.0,,15.7,
2001 赛季,82,44.5,0.0,73.9,13.2,30.2,95.7,43.4,20.9,6.2,,14.8,
2000 赛季,82,44.8,0.0,69.3,11.7,31.2,92.5,42.9,19.3,6.0,,15.8,
1999 赛季,82,42.6,0.0,74.6,11.6,29.0,92.0,40.6,18.0,7.1,,16.2,
1998 赛季,50,42.7,0.0,72.1,13.3,25.9,90.4,39.2,16.4,8.5,,15.9,
1997 赛季,82,43.8,0.0,72.3,12.7,27.8,95.9,40.4,18.7,7.6,,16.1,
1996 赛季,82,44.6,0.0,73.1,13.3,27.3,97.2,40.7,20.3,8.9,,16.0,
