年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,26,46.2,38.3,80.1,10.7,35.7,110.8,46.4,24.0,6.7,4.4,12.3,17.7
2020 赛季,72,46.8,37.3,81.2,10.6,35.1,113.7,45.6,24.1,7.0,4.8,13.2,19.3
2019 赛季,67,44.9,33.3,79.0,9.9,33.4,111.8,43.3,24.0,7.8,5.1,16.2,23.1
2018 赛季,82,45.1,35.2,75.2,11.6,34.5,113.3,46.1,25.8,8.2,5.1,17.0,23.6
2017 赛季,82,44.6,36.0,78.5,9.1,32.8,103.4,41.9,23.7,7.8,4.2,15.5,19.6
2016 赛季,82,45.1,34.1,72.8,10.3,34.1,103.2,44.3,23.6,8.2,4.8,15.8,18.2
2015 赛季,82,45.8,35.0,78.3,8.3,33.8,102.8,42.1,25.6,9.1,5.9,15.0,19.2
2014 赛季,82,46.6,38.0,77.8,8.7,31.8,102.5,40.6,25.7,9.1,4.6,14.2,17.8
2013 赛季,82,45.8,36.3,78.1,8.7,31.3,101.0,40.0,24.9,8.3,4.0,15.3,19.2
2012 赛季,82,46.4,37.1,71.5,9.2,31.6,98.0,40.9,24.5,8.1,4.5,14.9,18.0
2011 赛季,66,45.4,37.0,74.0,9.9,31.3,96.6,41.2,22.4,8.1,4.6,14.0,17.8
2010 赛季,82,46.2,0.0,77.9,9.3,30.0,95.0,39.3,22.0,6.1,,13.6,
2009 赛季,82,46.8,0.0,75.9,11.8,29.9,101.7,41.7,21.8,7.2,,12.0,
2008 赛季,82,45.8,0.0,73.7,10.6,29.4,98.1,40.0,20.2,7.4,,12.8,
2007 赛季,82,45.4,0.0,77.2,12.3,29.9,98.2,42.2,22.0,7.3,,14.9,
2006 赛季,82,44.4,0.0,76.1,11.9,28.2,93.7,40.1,19.2,7.4,,15.9,
2005 赛季,82,45.4,0.0,75.0,13.0,27.2,97.2,40.3,19.8,7.2,,15.7,
2004 赛季,82,44.1,0.0,71.1,13.4,28.5,92.7,41.9,19.7,7.7,,16.1,
2003 赛季,82,43.3,0.0,77.6,12.2,30.6,92.8,42.7,20.1,7.7,,16.5,
2002 赛季,82,44.4,0.0,79.3,11.4,31.2,94.1,42.6,20.5,7.5,,16.7,
2001 赛季,82,43.9,0.0,76.5,11.6,29.8,94.0,41.5,20.2,8.1,,15.6,
2000 赛季,82,43.1,0.0,75.9,12.5,30.4,91.0,42.9,19.0,7.7,,16.7,
1999 赛季,82,44.1,0.0,74.3,14.0,31.3,94.3,45.3,18.9,6.1,,15.4,
1998 赛季,50,40.9,0.0,73.1,13.5,30.0,86.3,43.5,15.6,6.9,,14.9,
1997 赛季,82,45.5,0.0,75.6,13.5,29.5,95.9,43.0,19.1,8.0,,14.8,
1996 赛季,82,44.6,0.0,76.3,12.5,28.7,94.8,41.1,19.0,8.6,,15.0,
