年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,27,46.2,36.1,80.3,10.2,34.1,107.6,44.3,25.2,7.5,3.0,14.8,20.6
2020 赛季,72,46.8,35.8,79.0,8.0,33.5,108.1,41.5,26.3,7.9,4.0,14.1,18.9
2019 赛季,73,46.8,37.9,78.3,8.5,35.9,112.0,44.4,25.9,7.5,4.5,14.9,20.6
2018 赛季,82,45.0,34.9,69.5,11.2,35.1,105.7,46.3,24.3,7.6,5.5,14.7,20.9
2017 赛季,82,45.5,36.0,75.5,9.3,34.2,103.4,43.5,22.7,7.6,5.3,14.4,20.1
2016 赛季,82,45.5,36.5,70.6,10.6,33.0,103.2,43.6,21.2,7.2,5.7,13.4,20.5
2015 赛季,82,47.0,33.6,74.4,9.8,34.3,100.0,44.1,20.8,6.7,6.5,14.1,18.3
2014 赛季,82,45.6,33.5,74.1,9.1,30.0,94.7,39.1,19.8,7.8,4.5,14.8,20.0
2013 赛季,82,50.1,36.4,76.0,7.7,29.2,102.2,36.9,22.5,8.9,4.5,14.8,19.5
2012 赛季,82,49.6,39.6,75.4,8.2,30.4,102.9,38.6,23.0,8.7,5.4,13.9,18.7
2011 赛季,66,46.9,35.9,77.5,10.4,31.2,98.5,41.6,20.0,8.9,5.4,15.2,19.4
2010 赛季,82,48.1,0.0,76.9,9.6,32.5,102.1,42.2,20.0,6.6,,13.9,
2009 赛季,82,45.8,0.0,75.2,10.7,31.1,96.5,41.8,18.9,7.4,,13.2,
2008 赛季,82,45.7,0.0,75.4,10.1,29.4,98.3,39.5,20.4,7.9,,12.5,
2007 赛季,82,44.3,0.0,72.7,9.1,28.6,91.4,37.6,20.0,7.2,,14.7,
2006 赛季,82,46.4,0.0,69.0,10.0,30.8,94.6,40.8,20.5,6.9,,14.7,
2005 赛季,82,47.8,0.0,70.0,10.5,32.6,99.9,43.1,20.6,6.4,,14.5,
2004 赛季,82,48.6,0.0,67.2,10.8,32.2,101.5,43.0,21.8,6.4,,13.7,
2003 赛季,82,42.5,0.0,76.2,11.5,30.0,90.3,41.5,19.1,7.2,,13.9,
2002 赛季,82,41.2,0.0,76.5,11.6,30.0,85.6,41.6,18.3,7.2,,14.2,
2001 赛季,82,43.9,0.0,72.4,11.0,31.0,87.2,42.0,20.3,6.7,,14.8,
2000 赛季,82,43.0,0.0,75.9,9.9,29.7,88.9,39.6,19.9,7.7,,13.7,
1999 赛季,82,46.0,0.0,73.6,11.2,31.9,94.4,43.2,23.5,7.1,,15.0,
1998 赛季,50,45.3,0.0,73.5,10.1,30.2,89.0,40.3,20.4,6.5,,14.9,
1997 赛季,82,45.0,0.0,73.9,12.5,29.5,95.0,42.0,21.4,8.1,,15.0,
1996 赛季,82,45.3,0.0,71.9,11.7,29.3,94.8,41.0,21.2,7.9,,15.9,
