年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,28,46.3,38.4,74.4,10.5,33.0,115.8,43.6,26.4,8.8,5.5,13.1,19.4
2020 赛季,72,45.5,36.9,76.1,10.6,33.2,109.5,43.8,26.8,7.9,4.8,14.9,18.0
2019 赛季,65,43.4,35.2,74.8,11.0,31.8,102.9,42.8,23.8,6.6,4.1,14.6,18.8
2018 赛季,82,44.8,35.1,79.7,9.9,33.9,110.7,43.8,23.2,7.2,4.9,12.2,18.9
2017 赛季,82,45.0,36.9,74.7,10.1,35.4,108.2,45.5,21.6,6.8,4.6,12.7,17.2
2016 赛季,82,44.2,35.1,81.5,8.8,34.8,104.9,43.6,23.1,7.0,4.8,11.5,16.6
2015 赛季,82,43.9,36.2,79.0,9.0,35.0,103.4,43.9,21.7,7.3,5.3,12.5,18.1
2014 赛季,82,42.0,31.8,74.8,10.0,34.1,94.2,44.1,20.2,6.1,5.5,11.9,18.2
2013 赛季,82,44.2,35.1,73.7,9.5,33.2,96.9,42.7,21.7,6.1,5.1,12.3,18.2
2012 赛季,82,42.5,33.5,75.0,11.2,29.1,93.4,40.3,19.4,7.2,5.8,14.1,19.0
2011 赛季,66,41.4,29.5,74.6,10.3,28.7,87.0,39.0,20.1,6.0,5.5,14.5,18.9
2010 赛季,82,45.1,0.0,75.6,10.3,29.8,93.3,40.2,21.1,6.4,,14.5,
2009 赛季,82,45.3,0.0,75.1,10.5,30.4,95.3,40.8,20.2,7.7,,15.7,
2008 赛季,82,45.5,0.0,74.0,10.8,28.9,93.6,39.7,21.2,7.1,,15.6,
2007 赛季,82,45.2,0.0,71.4,10.9,29.8,97.1,40.6,21.3,7.5,,14.7,
2006 赛季,82,44.6,0.0,73.4,11.2,28.6,96.9,39.8,22.4,7.8,,14.9,
2005 赛季,82,43.3,0.0,72.9,12.1,27.7,96.9,39.8,20.9,10.0,,14.2,
2004 赛季,82,43.2,0.0,70.9,13.2,28.5,94.3,41.7,21.9,8.5,,14.5,
