年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,26,48.1,37.2,78.0,10.2,36.5,115.3,46.7,22.6,7.2,5.4,14.8,18.9
2020 赛季,72,46.8,38.9,79.9,10.6,37.6,116.4,48.3,23.7,6.6,5.2,14.2,18.5
2019 赛季,72,47.1,38.0,77.9,9.1,35.8,111.3,44.9,22.4,6.1,4.1,15.1,20.4
2018 赛季,82,46.8,35.6,73.6,10.0,36.4,111.7,46.4,26.0,8.1,5.9,15.1,21.1
2017 赛季,82,46.2,36.6,77.9,9.0,34.2,104.1,43.3,22.4,8.6,5.1,14.7,19.6
2016 赛季,82,46.6,37.2,74.7,9.4,33.8,100.7,43.2,20.1,6.7,5.0,13.6,18.8
2015 赛季,82,44.9,35.5,74.4,10.7,32.5,97.7,43.2,19.0,7.7,5.2,14.9,20.2
2014 赛季,82,44.7,34.3,72.1,12.0,31.9,95.1,44.0,19.9,7.6,6.0,15.3,19.3
2013 赛季,82,44.4,34.4,74.7,11.0,30.2,95.0,41.2,20.3,7.0,4.5,14.6,20.7
2012 赛季,82,45.4,36.6,76.4,12.1,30.0,98.0,42.0,22.7,8.4,6.3,14.8,21.3
2011 赛季,66,45.6,32.3,75.4,13.1,31.1,99.7,44.2,21.8,8.3,5.8,14.2,21.8
2010 赛季,82,46.5,0.0,77.1,11.0,28.5,99.4,39.5,23.4,7.7,,14.3,
2009 赛季,82,49.1,0.0,74.1,10.6,31.6,104.2,42.2,26.7,8.2,,15.2,
2008 赛季,82,47.5,0.0,77.1,11.5,29.6,103.6,41.0,24.7,8.8,,14.8,
2007 赛季,82,49.7,0.0,75.9,11.5,29.4,106.2,40.9,26.4,8.7,,14.6,
2006 赛季,82,47.4,0.0,74.3,12.6,30.0,101.5,42.5,24.7,7.0,,15.6,
2005 赛季,82,44.2,0.0,71.9,13.1,29.0,92.4,42.1,21.6,6.4,,15.7,
2004 赛季,82,44.9,0.0,75.7,12.8,27.4,93.0,40.1,22.3,6.6,,15.8,
2003 赛季,82,43.6,0.0,74.6,13.5,27.7,88.7,41.2,20.4,7.1,,16.7,
2002 赛季,82,46.8,0.0,74.5,12.5,29.0,94.7,41.5,25.6,8.6,,16.8,
2001 赛季,82,45.0,0.0,76.3,13.5,28.6,96.0,42.2,24.4,9.1,,16.5,
2000 赛季,82,47.1,0.0,75.2,11.5,29.1,97.1,40.6,25.7,8.1,,15.8,
1999 赛季,82,46.4,0.0,77.3,11.4,29.6,96.5,41.0,24.9,7.7,,14.9,
1998 赛季,50,46.5,0.0,76.7,11.1,30.2,93.3,41.3,24.1,8.0,,16.3,
1997 赛季,82,49.0,0.0,77.3,11.7,29.3,101.0,41.1,25.2,7.9,,15.4,
1996 赛季,82,50.4,0.0,76.9,10.8,29.4,103.1,40.2,26.8,9.1,,15.4,
