年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,27,45.3,32.9,75.4,10.9,34.3,111.2,45.2,22.3,7.4,4.9,14.1,20.0
2020 赛季,72,48.1,36.4,74.5,9.4,32.0,113.7,41.4,25.5,7.5,5.0,13.4,19.4
2019 赛季,72,46.2,36.4,77.0,9.7,32.9,110.1,42.6,23.8,7.7,4.1,14.5,22.2
2018 赛季,82,46.4,37.8,72.6,11.0,34.4,114.2,45.4,25.4,8.3,4.4,13.4,21.4
2017 赛季,82,45.0,37.5,73.5,9.5,31.4,98.8,40.9,21.6,7.8,4.2,13.7,20.0
2016 赛季,82,46.1,37.6,77.5,8.7,32.3,102.8,41.1,22.5,7.7,4.0,14.7,20.3
2015 赛季,82,46.4,35.9,72.5,10.6,33.7,106.6,44.2,24.5,8.9,4.5,16.2,20.4
2014 赛季,82,45.5,34.1,76.2,10.9,33.3,101.3,44.2,20.3,6.7,4.0,16.3,20.7
2013 赛季,82,44.7,33.3,75.9,12.1,32.4,100.5,44.5,18.9,7.2,3.9,15.2,22.5
2012 赛季,82,44.7,36.3,76.9,11.5,29.1,100.2,40.6,20.8,8.2,4.2,14.6,20.9
2011 赛季,66,43.6,31.6,73.6,13.4,29.5,98.8,42.9,19.3,8.5,4.9,14.4,19.5
2010 赛季,82,44.9,0.0,73.4,13.1,30.8,99.4,43.9,20.4,7.4,,16.2,
2009 赛季,82,45.6,0.0,72.6,11.9,30.7,100.0,42.6,20.5,6.9,,15.0,
2008 赛季,82,44.7,0.0,79.8,10.2,28.9,100.6,39.1,19.7,6.9,,15.4,
2007 赛季,82,46.4,0.0,79.8,10.1,30.0,102.5,40.1,19.1,7.9,,16.1,
2006 赛季,82,45.0,0.0,76.5,9.7,29.2,101.3,38.9,20.3,8.2,,14.6,
2005 赛季,82,45.4,0.0,78.4,10.4,30.2,98.9,40.6,22.3,7.4,,14.6,
2004 赛季,82,45.9,0.0,78.7,12.5,29.9,103.7,42.4,24.5,8.2,,13.1,
2003 赛季,82,46.2,0.0,79.5,10.8,30.4,102.8,41.2,26.2,8.7,,13.9,
2002 赛季,82,46.4,0.0,74.6,11.0,33.5,101.7,44.5,24.8,9.0,,14.5,
2001 赛季,82,46.7,0.0,75.1,12.4,33.0,104.6,45.3,23.9,9.0,,13.8,
2000 赛季,82,44.9,0.0,77.1,12.0,33.0,101.7,45.0,22.6,9.7,,14.9,
1999 赛季,82,45.0,0.0,75.4,12.9,32.1,105.0,45.0,23.8,9.6,,16.2,
1998 赛季,50,44.5,0.0,68.3,14.1,31.5,100.2,45.6,22.6,8.9,,16.8,
1997 赛季,82,44.2,0.0,68.7,13.3,28.1,93.1,41.4,22.4,7.3,,15.5,
1996 赛季,82,45.4,0.0,72.3,13.4,28.1,96.4,41.5,21.9,7.2,,16.2,
