年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,27,43.8,36.0,78.4,10.9,34.5,105.8,45.4,21.5,7.0,5.5,13.9,18.9
2020 赛季,72,45.6,39.2,78.4,9.7,35.5,107.0,45.1,21.4,7.0,5.1,12.9,20.5
2019 赛季,66,44.7,33.7,69.4,12.0,34.5,105.8,46.5,22.1,7.6,4.7,14.3,22.2
2018 赛季,82,43.3,34.0,75.9,10.5,34.3,104.6,44.7,20.1,6.8,5.1,14.0,20.9
2017 赛季,82,46.4,35.2,78.7,10.5,33.6,104.5,44.0,23.3,6.7,5.1,14.7,20.5
2016 赛季,82,44.7,34.8,78.8,12.0,33.2,104.3,45.2,21.8,7.1,5.6,13.9,20.3
2015 赛季,82,43.9,34.6,80.5,10.4,34.0,98.4,44.4,20.5,5.7,5.7,13.4,19.7
2014 赛季,82,42.8,34.7,76.9,10.6,29.8,91.9,40.4,21.3,7.0,4.7,14.7,21.6
2013 赛季,82,44.9,37.2,76.1,10.6,29.7,98.6,40.3,20.0,7.7,4.5,13.0,22.1
2012 赛季,82,44.8,37.6,75.9,10.9,29.7,100.0,40.6,19.3,8.2,3.6,12.1,20.1
2011 赛季,66,44.3,33.6,74.1,11.3,30.5,97.8,41.7,20.1,9.4,4.2,16.0,21.1
2010 赛季,82,45.7,0.0,80.9,10.3,30.1,106.5,40.5,21.4,7.6,,13.7,
2009 赛季,82,45.5,0.0,78.2,10.2,30.2,102.1,40.4,21.6,7.2,,14.0,
2008 赛季,82,44.5,0.0,78.4,11.1,31.0,105.2,42.2,21.2,7.4,,14.3,
2007 赛季,82,43.9,0.0,72.7,12.6,30.0,96.9,42.5,18.7,6.4,,14.5,
2006 赛季,82,45.7,0.0,71.5,12.6,30.7,97.5,43.3,18.7,6.6,,17.1,
2005 赛季,82,45.5,0.0,72.6,12.6,28.8,95.6,41.4,17.9,6.8,,17.7,
2004 赛季,82,45.1,0.0,76.7,11.8,29.2,97.3,41.0,20.3,7.7,,14.7,
2003 赛季,82,44.2,0.0,79.3,11.6,31.0,92.0,42.6,20.7,7.4,,14.8,
2002 赛季,82,44.1,0.0,81.5,10.3,29.0,95.9,39.2,22.0,7.1,,14.0,
2001 赛季,82,43.2,0.0,78.7,10.7,30.0,91.6,40.7,21.0,6.8,,14.5,
2000 赛季,82,44.4,0.0,79.6,9.4,30.8,88.7,40.2,18.5,6.7,,14.5,
1999 赛季,82,45.5,0.0,78.1,9.8,30.7,92.1,40.5,19.4,6.3,,14.7,
1998 赛季,50,43.5,0.0,73.2,11.0,30.2,86.4,41.2,19.3,7.9,,16.1,
1997 赛季,82,44.7,0.0,77.2,11.9,29.7,91.6,41.6,21.8,7.7,,15.2,
1996 赛季,82,46.3,0.0,74.8,11.9,30.7,95.4,42.5,22.1,7.7,,17.8,
