年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,28,46.6,35.7,73.2,9.9,36.4,111.3,46.3,24.5,8.7,5.9,16.0,19.9
2020 赛季,72,47.2,35.4,73.9,9.7,34.6,109.5,44.2,24.7,7.8,5.4,15.2,19.1
2019 赛季,71,48.0,34.9,72.9,10.7,35.1,113.4,45.7,25.4,8.6,6.6,15.2,20.7
2018 赛季,82,47.0,33.3,69.9,10.2,36.4,111.8,46.6,25.6,7.5,5.4,15.7,20.7
2017 赛季,82,46.1,34.5,71.4,10.7,35.7,108.1,46.4,23.8,7.7,4.7,15.8,21.2
2016 赛季,82,45.0,34.6,75.4,11.4,32.1,104.6,43.5,20.9,8.2,3.9,15.2,20.7
2015 赛季,82,41.4,31.7,78.1,10.7,32.3,97.3,43.0,18.0,7.2,4.1,13.7,20.3
2014 赛季,82,43.5,34.4,74.1,11.6,32.3,98.5,43.9,20.9,7.1,4.5,13.2,21.2
2013 赛季,82,45.0,38.1,75.7,9.1,32.0,103.0,41.0,24.5,7.5,5.4,15.1,19.8
2012 赛季,82,45.8,35.5,69.2,11.5,33.3,102.2,44.8,22.2,7.0,5.2,15.0,17.9
2011 赛季,66,45.7,32.6,75.6,12.1,34.1,97.3,46.2,22.5,5.9,5.3,15.1,16.8
2010 赛季,82,46.3,0.0,77.9,12.1,31.9,101.5,44.0,22.0,7.3,,13.1,
2009 赛季,82,45.7,0.0,76.5,11.9,32.5,101.7,44.3,21.1,7.5,,13.4,
2008 赛季,82,47.4,0.0,77.0,12.4,31.6,106.9,43.9,23.3,8.8,,13.5,
2007 赛季,82,47.6,0.0,76.9,11.0,33.2,108.6,44.2,24.4,8.0,,14.1,
2006 赛季,82,46.6,0.0,74.7,10.8,30.4,103.3,41.2,22.6,7.3,,15.5,
2005 赛季,82,45.3,0.0,74.5,11.8,30.3,99.4,42.2,21.1,7.7,,13.9,
2004 赛季,82,43.7,0.0,77.7,12.5,30.6,98.7,43.2,20.4,6.2,,14.3,
2003 赛季,82,45.4,0.0,69.3,12.2,30.9,98.2,43.1,23.8,8.3,,13.8,
2002 赛季,82,45.1,0.0,73.4,13.1,31.1,100.4,44.3,23.3,7.8,,14.5,
2001 赛季,82,46.1,0.0,69.9,12.5,31.8,101.3,44.3,23.0,7.6,,12.7,
2000 赛季,82,46.5,0.0,68.3,13.2,31.5,100.6,44.7,23.0,6.9,,14.4,
1999 赛季,82,45.9,0.0,69.6,13.6,33.4,100.8,47.0,23.4,7.5,,13.9,
1998 赛季,50,46.8,0.0,68.3,12.4,29.6,99.0,42.0,21.9,7.8,,15.1,
1997 赛季,82,48.1,0.0,67.9,13.2,30.1,105.5,43.3,24.5,9.0,,15.3,
1996 赛季,82,45.4,0.0,69.2,13.3,29.4,100.0,42.8,22.5,9.0,,14.9,
