年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,28,42.2,32.6,76.6,9.9,34.7,101.4,44.6,21.8,6.5,4.8,15.4,19.3
2020 赛季,72,42.9,34.3,77.5,10.4,35.1,104.0,45.4,21.8,6.9,4.4,12.8,17.2
2019 赛季,73,44.4,34.3,77.4,10.3,34.2,107.3,44.5,23.9,8.2,5.4,12.8,18.3
2018 赛季,82,45.4,35.6,78.2,10.0,35.4,107.3,45.4,25.5,6.6,5.4,13.2,18.6
2017 赛季,82,45.2,35.1,75.7,8.8,32.8,103.4,41.6,23.4,7.6,4.9,14.5,19.3
2016 赛季,82,44.0,32.8,74.7,9.8,33.3,101.1,43.2,22.2,7.1,4.8,13.3,19.3
2015 赛季,82,45.5,35.0,75.7,10.3,33.0,102.1,43.3,23.6,8.2,5.1,14.1,20.7
2014 赛季,82,45.3,34.7,72.9,10.0,31.8,95.7,41.8,20.6,7.9,3.8,14.9,20.9
2013 赛季,82,44.5,35.3,76.3,9.7,32.4,96.5,42.1,21.0,7.7,4.3,14.9,20.5
2012 赛季,82,44.8,32.9,75.5,10.9,31.9,94.1,42.7,22.8,6.4,4.4,14.5,19.4
2011 赛季,66,44.1,37.5,66.0,11.2,31.2,94.2,42.5,20.0,6.8,4.2,14.9,17.7
2010 赛季,82,46.1,0.0,69.2,10.5,32.7,99.2,43.2,20.0,6.7,,14.9,
2009 赛季,82,47.0,0.0,72.4,9.9,33.4,102.8,43.2,19.7,6.2,,14.1,
2008 赛季,82,45.7,0.0,71.5,10.0,33.3,101.0,43.3,19.4,7.0,,13.9,
2007 赛季,82,47.4,0.0,72.1,9.4,32.7,104.5,42.0,20.8,6.3,,14.3,
2006 赛季,82,47.2,0.0,70.2,11.2,29.5,94.8,40.7,18.6,6.9,,17.0,
2005 赛季,82,47.2,0.0,73.0,10.9,29.3,94.9,40.2,18.2,6.5,,15.1,
2004 赛季,82,45.4,0.0,75.9,12.7,31.0,99.5,43.7,19.3,7.7,,16.1,
2003 赛季,82,42.9,0.0,73.7,12.2,28.7,94.0,40.9,19.3,6.7,,13.7,
2002 赛季,82,43.6,0.0,77.7,11.7,29.2,98.5,40.9,20.4,8.5,,14.4,
2001 赛季,82,44.8,0.0,75.4,11.5,29.8,100.5,41.2,22.0,8.1,,13.7,
2000 赛季,82,43.8,0.0,71.4,13.0,29.9,97.5,42.9,22.0,8.2,,15.2,
1999 赛季,82,45.2,0.0,73.5,14.0,31.0,100.1,44.9,20.8,9.1,,17.6,
1998 赛季,50,42.8,0.0,70.0,13.8,28.9,89.5,42.7,21.3,9.9,,16.4,
1997 赛季,82,42.9,0.0,72.6,14.4,26.9,90.1,41.2,20.7,7.9,,15.3,
1996 赛季,82,43.7,0.0,74.6,13.1,27.1,94.1,40.1,20.6,8.5,,15.2,
