年度,场数,%,三分%,罚球%,进攻,防守,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,失误,犯规
2021 赛季,26,44.2,32.5,73.9,9.8,33.5,103.8,43.4,22.4,7.2,4.0,12.2,19.1
2020 赛季,72,47.0,36.2,77.8,9.1,34.2,112.4,43.3,22.9,6.3,4.3,12.1,19.4
2019 赛季,75,46.1,36.7,77.9,10.5,36.4,117.0,46.9,24.7,6.1,4.8,12.7,19.5
2018 赛季,82,44.7,34.0,74.2,10.1,35.2,108.9,45.3,23.4,6.5,4.3,14.2,20.1
2017 赛季,82,44.4,36.0,76.3,8.1,33.1,102.3,41.3,22.7,7.1,3.8,12.3,19.2
2016 赛季,82,44.0,35.5,80.1,7.9,30.7,97.9,38.6,20.8,7.5,3.7,11.9,19.1
2015 赛季,82,44.4,34.4,79.4,9.2,33.9,102.3,43.1,22.1,6.8,3.7,12.8,19.5
2014 赛季,82,46.3,35.2,75.2,10.5,31.8,105.2,42.3,22.5,8.1,4.5,13.0,20.1
2013 赛季,82,47.4,38.4,79.5,10.2,30.7,104.8,40.9,23.6,8.6,4.3,13.5,20.0
2012 赛季,82,46.2,37.2,79.3,9.4,32.6,101.1,41.9,23.2,7.9,5.5,14.0,20.7
2011 赛季,66,44.3,33.9,77.1,10.1,32.7,95.8,42.8,20.9,8.6,5.1,14.0,18.6
2010 赛季,82,47.5,0.0,77.7,9.5,31.9,100.2,41.4,23.8,6.8,,14.0,
2009 赛季,82,46.4,0.0,81.6,10.2,31.5,102.0,41.7,23.4,7.6,,12.9,
2008 赛季,82,46.2,0.0,81.9,11.1,31.7,101.7,42.7,21.7,7.2,,12.7,
2007 赛季,82,46.4,0.0,81.4,10.8,32.2,100.4,43.0,21.0,6.0,,12.7,
2006 赛季,82,46.7,0.0,80.5,11.2,30.7,100.0,41.9,19.9,6.8,,13.9,
2005 赛季,82,46.2,0.0,78.3,12.6,29.7,99.1,42.2,18.0,7.2,,13.6,
2004 赛季,82,45.7,0.0,78.9,12.1,30.9,102.5,42.9,19.6,8.6,,13.4,
2003 赛季,82,45.9,0.0,79.6,14.3,31.0,105.2,45.3,23.9,8.0,,11.3,
2002 赛季,82,45.3,0.0,82.9,11.1,31.0,103.0,42.1,22.4,8.1,,11.6,
2001 赛季,82,46.2,0.0,80.6,11.2,31.3,105.2,42.5,22.1,7.1,,12.1,
2000 赛季,82,45.9,0.0,79.4,10.1,31.4,100.5,41.5,21.2,7.5,,13.9,
1999 赛季,82,45.3,0.0,80.4,11.4,29.8,101.4,41.2,22.1,7.2,,13.7,
1998 赛季,50,43.4,0.0,72.8,12.9,29.6,91.6,42.5,18.4,7.0,,13.8,
1997 赛季,82,42.7,0.0,75.3,12.3,27.8,91.4,40.1,18.7,7.9,,14.4,
1996 赛季,82,43.6,0.0,71.7,12.7,27.6,90.6,40.3,20.3,8.0,,16.2,
